Name,Location,Total_Area,Price_per_SQFT
"ASK DREAM HOMES ,Mudichur, Chennai","ASK DREAM HOMES ,Mudichur, Chennai",830,3980.0
Newry Triton,"Avadi, Chennai",1403,4850.0
"Gowri Garden,Kanathur, Uthandi,Chennai","Gowri Garden,Kanathur, Uthandi,Chennai",965,5080.0
"Duraisamy Nagar, Kotturpuram,Chennai","Duraisamy Nagar, Kotturpuram,Chennai",1840,13040.0
 Signet Shalom,"Shakthi Nagar, Kodambakkam,Chennai",916,9280.0
"Guduvancheri, Chennai","Guduvancheri, Chennai",814,3560.0
"HI FI Enclave,VGN Nagar, Iyyappanthangal,Chennai","HI FI Enclave,VGN Nagar, Iyyappanthangal,Chennai",1350,7330.0
Amarprakash Temple Waves,"Thandalam, Chennai",911,5610.0
"Alangar,Tambaram East, Chennai","Alangar,Tambaram East, Chennai",905,10940.0
Sai Empire Villas,"Karanai Puthuchery, Chennai",850,4120.0
"Maraimalai Nagar, Chennai","Maraimalai Nagar, Chennai",1200,3830.0
Ashwanth Vedas,"Lakshmipuram, Kolathur,Chennai",1150,6430.0
 Ganpati Pearl by Om Access Realty Pvt. Ltd,"Vengaivasal, Medavakkam,Chennai",1000,7500.0
SBN Sree Bhoomi Neela Enclave,"Siruseri, Chennai",830,5420.0
Narmada Apartment,"Anna Nagar, Chennai",857,10380.0
"Siddharth Sriyaji apartments,Choolai, Chennai","Siddharth Sriyaji apartments,Choolai, Chennai",1150,8700.0
Srikaram Shubhadhi,"Senganmal, Chennai",1060,3960.0
"Karunakaran Enclave,Jagannathan Colony, Perambur,Chennai","Karunakaran Enclave,Jagannathan Colony, Perambur,Chennai",944,12710.0
Vaikund Sundaram by Vaikund Estates,"Karapakkam, Chennai",1240,5640.0
CasaGrand Castle,"Dharmarajapuram, Kolapakkam,Chennai",941,9030.0
"Aquasphere,Semmanjeri, Semmancheri,Chennai","Aquasphere,Semmanjeri, Semmancheri,Chennai",1150,4700.0
Arun Excello Compact Homes Sankara by Arun Excello Homes Pvt Ltd,"Mambakkam-Chengalpattu , Chennai",625,4960.0
"CTO colony ,Tambaram Mount, West Tambaram,Chennai","CTO colony ,Tambaram Mount, West Tambaram,Chennai",1200,6250.0
The Nest Njoy,"Kanathur Reddikuppam, Chennai",710,6620.0
Viswak Meadow Lands,"Alapakkam, Maduravoyal,Chennai",801,9740.0
"Panchayat Colony, Pammal,Chennai","Panchayat Colony, Pammal,Chennai",850,7650.0
"Arjunamedu, Thiruverkkadu,Chennai","Arjunamedu, Thiruverkkadu,Chennai",2800,6070.0
Arun Excello Compact Homes Sankara,"Mambakkam-Chengalpattu , Chennai",625,5000.0
VGN Coasta,"Muttukadu, Chennai",1540,8440.0
"Pranav Foundations,Girigori Nagar, Manapakkam,Chennai","Pranav Foundations,Girigori Nagar, Manapakkam,Chennai",1365,5130.0
"R D Appartment,Kamakshi Nagar, Anakaputhur,Chennai","R D Appartment,Kamakshi Nagar, Anakaputhur,Chennai",1250,5120.0
"VOC Nagar, Pammal,Chennai","VOC Nagar, Pammal,Chennai",840,6190.0
XS Real En Veedu,"Perumanttunallur, Chennai",486,4320.0
Radiance Ivy Terrace,"Egattur, Chennai",1439,5280.0
