id,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title
467,NASA- 9,1980,5,5,MSP,1996,22
468,1980 NASA group,1980,1,2,MSP,1989,STS-29
469,1980 NASA group,1980,2,2,MSP,1990,STS-38
470,NASA- 9,1980,1,2,MSP,1989,STS-29
471,NASA- 9,1980,2,2,MSP,1991,STS-40
472,NASA- 10,1984,1,4,MSP,1989,STS-30
473,NASA- 10,1984,2,4,MSP,1992,STS-47
474,NASA- 10,1984,3,4,MSP,1994,STS-64
475,NASA- 10,1984,4,4,MSP,1997,STS-82
476,NASA-9,1980,1,4,pilot,1989,STS-28
477,NASA-9,1980,2,4,commander,1990,STS-41
478,NASA-9,1980,3,4,commander,1992,STS-50
479,NASA-9,1980,4,4,commander,1994,STS-64
480,NASA- 10,1984,1,2,MSP,1989,STS-28
481,NASA- 10,1984,2,2,MSP,1991,STS-43
482,NASA- 10,1984,1,2,MSP,1989,STS-28
483,NASA- 10,1984,2,2,MSP,1991,STS-48
484,NASA- 10,1984,1,1,pilot,1989,STS-34
485,NASA- 10,1984,1,3,MSP,1989,STS-34
486,NASA- 10,1984,2,3,MSP,1992,STS-50
487,NASA- 10,1984,3,3,MSP,1995,STS-71
488,NASA- 10,1984,1,1,MSP,1989,STS-33
489,1984 NASA group,1984,1,4,MSP,1989,STS-33
490,1984 NASA group,1984,2,4,MSP,1992,STS-49
491,1984 NASA group,1984,3,4,MSP,1993,STS-61
492,1984 NASA group,1984,4,4,MSP,1995,STS-73
493,1984 NASA group 10,1984,1,6,pilot,1990,STS-32
494,1984 NASA group 10,1984,2,6,commander,1992,STS-52
495,1984 NASA group 10,1984,3,6,commander,1995,STS-63
496,1984 NASA group 10,1984,4,6,commander,1997,STS-86
497,1984 NASA group 10,1984,5,6,commander,2001,STS-102
498,1984 NASA group 10,1984,6,6,commander,2002,STS-113
499,NASA- 10,1984,1,5,MSP,1990,STS-32
500,NASA- 10,1984,2,5,MSP,1992,STS-46
501,NASA- 10,1984,3,5,MSP,1994,STS-62
502,NASA- 10,1984,4,5,MSP,1997,STS-81
503,NASA- 10,1984,5,5,MSP,2001,STS-98
504,NASA- 10,1984,1,3,MSP,1990,STS-32
505,NASA- 10,1984,2,3,MSP,1991,STS-43
506,NASA- 10,1984,3,3,MSP,1993,STS-57
507,NPOE-4,1978,1,1,flight engineer,1990,6
508,NASA- 10,1984,1,4,pilot,1990,STS-36
509,NASA- 10,1984,2,4,commander,1993,STS-54
510,NASA- 10,1984,3,4,commander,1994,STS-62
511,NASA- 10,1984,4,4,commander,1996,STS-77
512,1985 NASA group,1985,1,3,MSP,1990,STS-36
513,1985 NASA group,1985,2,3,MSP,1992,STS-49
514,1985 NASA group,1985,3,3,MSP,1994,STS-62
515,GKNII-2 / TsPK-9,1985,1,2,commander,1990,7
516,GKNII-2 / TsPK-9,1985,2,2,commander,1993,13
517,NASA- 11,1985,1,4,pilot,1990,STS-41
518,NASA- 11,1985,2,4,pilot,1992,STS-53
519,NASA- 11,1985,3,4,commander,1994,STS-65
520,NASA- 11,1985,4,4,commander,1998,STS-88
521,NASA- 12,1987,1,2,MSP,1990,STS-41
522,NASA- 13,1987,2,2,MSP,1992,STS-49
523,NASA- 12,1987,1,4,MSP,1990,STS-41
524,NASA- 12,1987,2,4,MSP,1992,STS-49
525,NASA- 12,1987,3,4,MSP,1993,STS-61
526,NASA- 12,1987,4,4,MSP,1996,STS-79
527,NASA- 10,1984,1,3,pilot,1990,STS-38
528,NASA- 10,1984,2,3,commander,1993,STS-51
529,NASA- 10,1984,3,3,commander,2001,3
530,NASA- 11,1985,1,3,MSP,1990,STS-38
531,NASA- 11,1985,2,3,MSP,1992,STS-50
532,NASA- 11,1985,3,3,MSP,1994,STS-64
533,NASA Astronaut Group 11,1985,1,3,MSP,1990,STS-38
534,NASA Astronaut Group 11,1985,2,3,MSP,1991,STS-48
535,NASA Astronaut Group 11,1985,3,3,MSP,1994,STS-62
536,PS for Astro-1,1984,1,2,PSP,1990,Astro-1
537,PS for Astro-2,1984,2,2,PSP,1995,Astro-2
538,PS for Astro-1,1984,1,2,PSP,1990,STS-35
539,PS for Astro-1,1984,2,2,PSP,1995,STS-67
540,GKNII-2 / TsPK-9,1985,1,4,commander,1991,8
541,GKNII-2 / TsPK-9,1985,2,4,commander,1994,15
542,GKNII-2 / TsPK-9,1985,3,4,commander,1999,27
543,GKNII-2 / TsPK-9,1985,4,4,commander,2001,Soyuz TM­33/32
544,TBS,1989,1,1,Other (Journalist),1990,Soyuz TM-11/10
545,NASA- 10,1984,1,3,pilot,1991,STS-37
546,NASA- 10,1984,2,3,commander,1993,STS-56
547,NASA- 10,1984,3,3,commander,1995,STS-74
548,NASA Astronaut Group 11,1985,1,4,MSP,1991,STS-37
549,NASA Astronaut Group 12,1985,2,4,MSP,1994,STS-59
550,NASA Astronaut Group 13,1985,3,4,MSP,1996,STS-76
551,NASA Astronaut Group 14,1985,4,4,MSP,2001,STS-108
552,NASA- 11,1985,1,4,MSP,1991,STS-37
553,NASA- 11,1985,2,4,MSP,1992,STS-47
554,NASA- 11,1985,3,4,MSP,1994,STS-59
555,NASA- 11,1985,4,4,MSP,1996,STS-79
556,NASA Astronaut Group 10,1984,1,2,pilot,1991,STS-39
557,NASA Astronaut Group 11,1984,2,2,pilot,1994,STS-64
558,NASA Astronaut Group 12,1987,1,4,MSP,1991,STS-39
559,NASA Astronaut Group 13,1987,2,4,MSP,1993,STS-54
560,NASA Astronaut Group 14,1987,3,4,MSP,1995,STS-71
561,NASA Astronaut Group 15,1987,4,4,MSP,1997,STS-82
562,NASA- 12,1987,1,3,MSP,1991,STS-39
563,NASA- 12,1987,2,3,pilot,1993,STS-54
564,NASA- 12,1987,3,3,commander,1994,STS-66
565,1984 NASA group 10,1984,1,2,MSP,1991,STS-39
566,1984 NASA group 10,1984,2,2,MSP,1992,STS-52
567,NASA- 11,1985,1,3,MSP,1991,STS-39
568,NASA- 12,1985,2,3,MSP,1992,STS-49
569,NASA- 13,1985,3,3,MSP,1994,STS-65
570,GKNII-2 / RAN-5 / TsPK-9,1985,1,1,commander,1991,9
571,1989 Juno,1989,1,1,MSP,1991,Soyuz TM-12/11
572,NASA Astronaut Group 10,1984,1,2,MSP,1991,STS-40
573,NASA Astronaut Group 11,1984,2,2,commander,1994,STS-59
574,NASA- 11,1985,1,5,MSP,1991,STS-40
575,NASA- 12,1985,2,5,MSP,1992,STS-52
576,NASA- 13,1985,3,5,MSP,1995,STS-67
577,NASA- 14,1985,4,5,MSP,1996,STS-80
578,NASA- 15,1985,5,5,MSP,1999,STS-96
579,Spacelab-4 / SLS-1,1984,1,1,PSP,1991,STS-40
580,NASA PS,1983,1,1,PSP,1991,STS-40
581,NASA- 11,1985,1,4,pilot,1991,STS-43
582,NASA- 11,1985,2,4,pilot,1992,STS-52
583,NASA- 11,1985,3,4,commander,1994,STS-68
584,NASA- 11,1985,4,4,commander,1997,STS-81
585,NASA-12,1987,1,2,pilot,1991,STS-48
586,NASA-12,1987,2,2,pilot,1994,STS-60
587,Kazakhstan,1991,1,1,MSP,1991,10
588,Austria,1989,1,1,MSP,1991,Soyuz TM13/12
589,NASA- 11,1985,1,4,pilot,1991,STS-44
590,NASA- 12,1985,2,4,pilot,1993,STS-55
591,NASA- 13,1985,3,4,commander,1995,STS-70
592,NASA- 14,1985,4,4,commander,1996,STS-78
593,1987 NASA group,1987,1,5,MSP,1991,STS-44
594,1987 NASA group,1987,2,5,MSP,1992,STS-53
595,1987 NASA group,1987,3,5,MSP,1995,STS-69
596,1987 NASA group,1987,4,5,MSP,2000,STS-101
597,1987 NASA group,1987,5,5,MSP,2001,2
598,NASA-12,1987,1,3,MSP,1991,STS-44
599,NASA-12,1987,2,3,MSP,1993,STS-54
600,NASA-12,1987,3,3,MSP,1996,STS-77
601,Terra Scout,1988,1,1,PSP,1991,STS-44
602,NASA-11,1985,1,3,pilot,1992,STS-42
603,NASA-11,1985,2,3,pilot,1993,STS-67
604,NASA-11,1985,3,3,commander,1995,STS-42
605,NASA-12,1987,1,3,MSP,1992,STS-42
606,NASA-12,1987,2,3,pilot,1993,STS-51
607,NASA-12,1987,3,3,commander,1996,STS-79
608,1983 NRC Group,1983,1,1,PSP,1992,STS-42
609,NPOE-6,1984,1,5,flight engineer,1992,11
610,NPOE-6,1984,2,5,flight engineer,1996,21
611,NPOE-6,1984,3,5,flight engineer,2000,28
612,NPOE-6,1984,4,5,flight engineer,2003,8
613,NPOE-6,1984,5,5,flight engineer,2010,25
614,DLR-3,1990,1,1,MSP,1992,Soyuz TM-14/13
615,NASA- 11,1985,1,4,pilot,1992,STS-45
616,NASA- 11,1985,2,4,pilot,1993,STS-57
617,NASA- 11,1985,3,4,commander,1996,STS-72
618,NASA- 11,1985,4,4,commander,2000,STS-92
619,NASA- 12,1987,1,6,MSP,1992,STS-45
620,NASA- 12,1987,2,6,MSP,1993,STS-56
621,NASA- 12,1987,3,6,MSP,1995,STS-63
622,NASA- 12,1987,4,6,MSP,1997,23
623,NASA- 12,1987,5,6,MSP,1999,STS-103
624,NASA- 12,1987,6,6,commander,2003,8
625,ATLAS-1,1985,1,1,PSP,1992,STS-45
626,NASA- 12,1987,1,3,pilot,1992,STS-49
627,NASA- 12,1987,2,3,pilot,1994,STS-59
628,NASA- 12,1987,3,3,commander,1996,STS-76
629,NASA- 12,1987,1,5,pilot,1992,STS-50
630,NASA- 12,1987,2,5,pilot,1993,STS-61
631,NASA- 12,1987,3,5,commander,1995,STS-73
632,NASA- 12,1987,4,5,commander,1997,STS-82
633,NASA- 12,1987,5,5,commander,2002,6
634,United States Microgravity Labratory-1,1990,1,1,PSP,1992,STS-50
635,Spacelab-3,1983,1,1,PSP,1992,STS-50
636,NPOE-8,1987,1,3,flight engineer,1993,12
637,NPOE-8,1987,2,3,flight engineer,1995,20
638,NPOE-8,1987,3,3,flight engineer,1998,26
639,CNES-2/EAC,1985,1,2,MSP,1992,Antares
640,CNES-2/EAC,1985,2,2,MSP,1999,STS-93
641,NASA- 12,1987,1,3,pilot,1992,STS-46
642,NASA- 12,1987,2,3,pilot,1994,STS-62
643,NASA- 12,1987,3,3,commander,1996,STS-75
644,1978 ESA Group,1978,1,4,PSP,1992,STS-46
645,1978 ESA Group,1978,2,4,PSP,1993,STS-61-A
646,1978 ESA Group,1978,3,4,MSP,1996,STS-75
647,1978 ESA Group,1978,4,4,MSP,1999,STS-103
648,1989 ESA Group,1998,1,1,PSP,1992,sts-46
649,NASA- 12,1987,1,6,pilot,1992,STS-47
650,NASA- 12,1987,2,6,pilot,1994,STS-66
651,NASA- 12,1987,3,6,pilot,1996,STS-77
652,NASA- 12,1987,4,6,commander,1997,STS-85
653,NASA- 12,1987,5,6,commander,1998,STS-95
654,NASA- 12,1987,6,6,commander,1999,STS-103
655,NASA- 12,1987,1,3,MSP,1992,STS-47
656,NASA- 12,1987,2,3,MSP,1994,STS-60
657,NASA- 12,1987,3,3,MSP,1997,STS-85
658,NASA- 12,1987,1,1,MSP,1992,STS-47
659,NASDA-1,1985,1,2,PSP,1992,STS-47
660,NASDA-1,1985,2,2,MSP,2000,STS-99
661,1983 NRC Group,1983,1,2,PSP,1992,STS-52
662,1983 NRC Group,1983,2,2,MSP,2006,STS-115
663,NASA- 13,1990,1,3,MSP,1992,STS-53
664,NASA- 13,1990,2,3,MSP,1994,STS-59
665,NASA- 13,1990,3,3,MSP,1996,STS-76
666,NASA- 13,1990,1,5,MSP,1993,STS-54
667,NASA- 13,1990,2,5,MSP,1994,STS-64
668,NASA- 13,1990,3,5,MSP,1996,STS-78
669,NASA- 13,1990,4,5,MSP,2000,STS-101
670,NASA- 13,1990,5,5,flight engineer,2001,2
671,NPOE-9,1989,1,1,flight engineer,1993,13
672,NASA- 13,1990,1,5,MSP,1993,STS-56
673,NASA- 13,1990,2,5,pilot,1995,STS-69
674,NASA- 13,1990,3,5,commander,1996,STS-80
675,NASA- 13,1990,4,5,commander,2001,STS-98
676,NASA- 13,1990,5,5,commander,2002,STS-111
677,NASA-13,1990,1,4,MSP,1993,STS-56
678,NASA-13,1990,2,4,MSP,1994,STS-66
679,NASA-13,1990,3,4,MSP,1999,STS-96
680,NASA-13,1990,4,4,MSP,2002,STS-110
681,NASA-13,1990,1,4,MSP,1993,STS-55
682,NASA-13,1990,2,4,pilot,1995,STS-71
683,NASA-13,1990,3,4,commander,1997,STS-84
684,NASA-13,1990,4,4,commander,1998,STS-91
685,NASA Astronaut Group 13,1990,1,2,MSP,1993,STS-55
686,NASA Astronaut Group 14,1990,2,2,MSP,1995,STS-63
687,DLR-2/EAC,1987,1,1,PSP,1993,STS-55
688,DLR-2/EAC,1987,1,2,PSP,1993,STS-55
689,DLR-2/EAC,1987,2,2,MSP,2008,STS-122
690,NASA- 13,1990,1,4,MSP,1993,STS-57
691,NASA- 13,1990,2,4,MSP,1995,STS-70
692,NASA- 13,1990,3,4,MSP,1998,STS-88
693,NASA- 13,1990,4,4,MSP,2002,STS-109
694,1990 NASA group,1990,1,4,MSP,1993,STS-57
695,1990 NASA group,1990,2,4,MSP,1994,STS-68
696,1990 NASA group,1990,3,4,MSP,1997,STS-81
697,1990 NASA group,1990,4,4,MSP,2000,STS-92
698,1990 NASA group,1990,1,5,MSP,1993,STS-57
699,1990 NASA group,1990,2,5,MSP,1995,STS-63
700,1990 NASA group,1990,3,5,MSP,1997,STS-83
701,1990 NASA group,1990,4,5,MSP,1997,STS-94
702,1990 NASA group,1990,5,5,MSP,2000,STS-99
703,TsPK-8,1987,1,2,commander,1993,14
704,TsPK-8,1987,2,2,commander,1997,23
705,CNES-2/EAC,1985,1,2,MSP,1993,Soyuz TM-17 / Soyuz TM-16
706,CNES-2/EAC,1985,2,2,flight engineer,1999,27
707,NASA-13,1990,1,4,MSP,1993,STS-51
708,NASA-13,1990,2,4,MSP,1995,STS-69
709,NASA-13,1990,3,4,MSP,1998,STS-88
710,NASA-13,1990,4,4,MSP,2002,STS-109
711,NASA- 13,1990,1,4,MSP,1993,STS-51
712,NASA- 13,1990,2,4,MSP,1994,STS-68
713,NASA- 13,1990,3,4,MSP,1996,STS-77
714,NASA- 13,1990,4,4,flight engineer,2001,4
715,1990 NASA group,1990,1,4,MSP,1993,STS-51
716,1990 NASA group,1990,2,4,MSP,1994,STS-65
717,1990 NASA group,1990,3,4,MSP,1996,STS-79
718,1990 NASA group,1990,4,4,MSP,2001,4
719,1990 NASA group 13,1990,1,3,pilot,1993,STS-58
720,1990 NASA group 13,1990,2,3,pilot,1996,STS-76
721,1990 NASA group 13,1990,3,3,commander,1998,STS-90
722,NASA- 13,1990,1,4,MSP,1993,STS-58
723,NASA- 13,1990,2,4,MSP,1995,STS-74
724,NASA- 13,1990,3,4,MSP,2000,STS-92
725,NASA- 13,1990,4,4,flight engineer,2006,12
726,1990 NASA group,1990,1,4,MSP,1993,STS-58
727,1990 NASA group,1990,2,4,MSP,1997,24
728,1990 NASA group,1990,3,4,MSP,2002,STS-112
729,1990 NASA group,1990,4,4,MSP,2009,STS-127
730,PS for STS-58,1992,1,1,PSP,1993,STS-58
731,1989 NPOE Cosmonaut Group,1989,1,4,flight engineer,1994,Mir EO-15
732,1989 NPOE Cosmonaut Group,1989,2,4,flight engineer,1996,Mir EO-21
733,1989 NPOE Cosmonaut Group,1989,3,4,MSP,2000,STS 101
734,1989 NPOE Cosmonaut Group,1989,4,4,commander,2001,2
735,1990 NASA group 13,1990,1,2,MSP,1994,STS-60
736,1990 NASA group 13,1990,2,2,MSP,1996,STS-76
737,NASA- 13,1990,1,4,MSP,1994,STS-59
738,NASA- 14,1990,2,4,MSP,1994,STS-68
739,NASA- 14,1990,3,4,MSP,1996,STS-80
740,NASA- 14,1990,4,4,MSP,2001,STS-98
741,TsPK-8,1987,1,6,commander,1994,16
742,TsPK-8,1987,2,6,Flight engineer,2000,STS­106
743,TsPK-8,1987,3,6,commander,2003,7
744,TsPK-8,1987,4,6,commander,2007,16
745,TsPK-8,1987,5,6,commander,2012,32
746,TsPK-8,1987,6,6,commander,2015,46
747,MGA/Kazakhstan,1990,1,3,flight engineer,1994,16
748,MGA/Kazakhstan,1990,2,3,commander,1998,25
749,MGA/Kazakhstan,1990,3,3,commander,2001,Soyuz TM­32/31
750,NASA Astronaut Group 13,1990,1,5,pilot,1994,STS-65
751,NASA Astronaut Group 14,1990,2,5,pilot,1995,STS-74
752,NASA Astronaut Group 15,1990,3,5,commander,1997,STS-83
753,NASA Astronaut Group 16,1990,4,5,commander,1997,STS-94
754,NASA Astronaut Group 17,1990,5,5,commander,2000,STS-101
755,NASA- 13,1990,1,4,MSP,1994,STS-65
756,NASA- 13,1990,2,4,MSP,1996,STS-72
757,NASA- 13,1990,3,4,MSP,2000,STS-92
758,NASA- 13,1990,4,4,commander,2004,10
759,1990 NASA group,1990,1,4,MSP,1994,STS-65
760,1990 NASA group,1990,2,4,MSP,1995,STS-70
761,1990 NASA group,1990,3,4,MSP,1997,STS-83
762,1990 NASA group,1990,4,4,MSP,1997,STS-94
763,NASDA-1,1985,1,2,PSP,1994,STS-65
764,NASDA-1,1985,2,2,PSP,1998,STS-95
765,NASA- 14,1992,1,2,MSP,1994,STS-64
766,NASA- 15,1992,2,2,MSP,1997,22
767,1990 NASA group,1990,1,4,pilot,1994,STS-68
768,1990 NASA group,1990,2,4,pilot,1996,STS-79
769,1990 NASA group,1990,3,4,commander,1998,STS-89
770,1990 NASA group,1990,4,4,commander,2000,STS-106
771,1992 NASA group,1992,1,4,MSP,1994,STS-68
772,1993 NASA group,1992,2,4,MSP,1997,STS-82
773,1994 NASA group,1992,3,4,MSP,1999,STS-103
774,1995 NASA group,1992,4,4,MSP,2002,STS-110
775,NPOE-9,1989,1,2,flight engineer,1994,17
776,NPOE-9,1989,2,2,MSP,1997,23
777,1992 NASA group,1992,1,4,MSP,1994,STS-66
778,1992 NASA group,1992,2,4,MSP,1997,STS-82
779,1992 NASA group,1992,3,4,MSP,2000,STS-97
780,1992 NASA group,1992,4,4,MSP,2006,STS-115
781,CNES-2/ESA-2/EAC,1985,1,3,MSP,1994,STS-66
782,CNES-2/ESA-2/EAC,1985,2,3,MSP,1997,STS-84
783,CNES-2/ESA-2/EAC,1985,3,3,MSP,1999,STS-103
784,NASA-14,1992,1,5,MSP,1994,STS-66
785,NASA-14,1992,2,5,MSP,1997,STS-86
786,NASA-14,1992,3,5,MSP,1998,STS-95
787,NASA-14,1992,4,5,MSP,2001,STS-100
788,NASA-14,1992,5,5,MSP,2007,STS-120
789,NASA- 13,1990,1,4,pilot,1995,STS-63
790,NASA- 13,1990,2,4,pilot,1997,STS-84
791,NASA- 13,1990,3,4,commander,1999,STS-93
792,NASA- 13,1990,4,4,commander,2005,STS-114
793,NASA Astronaut Group 13,1990,1,1,pilot,1995,STS-67
794,NASA Astronaut Group 14,1992,1,5,MSP,1995,STS-67
795,NASA Astronaut Group 15,1992,2,5,MSP,1997,STS-81
796,NASA Astronaut Group 16,1992,3,5,MSP,1999,STS-103
797,NASA Astronaut Group 17,1992,4,5,MSP,2002,STS-109
798,NASA Astronaut Group 18,1992,5,5,MSP,2009,STS-125
799,NASA- 14,1992,1,4,MSP,1995,STS-67
800,NASA- 14,1992,2,4,MSP,1997,STS-86
801,NASA- 14,1992,3,4,MSP,1998,STS-91
802,NASA- 14,1992,4,4,MSP,2005,STS-114
803,TsPK-8,1987,1,2,commander,1995,18
804,TsPK-8,1987,2,2,commander,2001,3
805,NPOE-9,1989,1,3,flight engineer,1995,19
806,NPOE-9,1989,2,3,flight engineer,1998,25
807,NPOE-9,1989,3,3,flight engineer,2002,6
808,NASA- 14,1992,1,4,pilot,1995,STS-70
809,NASA- 14,1992,2,4,pilot,1996,STS-78
810,NASA- 14,1992,3,4,commander,1997,STS-87
811,NASA- 14,1992,4,4,commander,2000,STS-99
812,1992 NASA group,1992,1,2,MSP,1995,STS-70
813,1992 NASA group,1992,2,2,MSP,2000,STS-101
814,TsPK-8,1987,1,3,commander,1995,20
815,TsPK-8,1987,2,3,commander,2000,1
816,TsPK-8,1987,3,3,commander,2002,Soyuz  3
817,ESA-2/EAC,1992,1,2,flight engineer,1995,20
818,ESA-2/EAC,1992,2,2,flight engineer,2006,13
