id,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
588,Soyuz TM13,Soyuz TM13,Soyuz TM12,190.2,190.2,0,0.0,0.0
589,STS-44,STS-44,STS-44,166.0,190.75,0,0.0,0.0
590,STS-55,STS-55,STS-55,239.0,190.75,0,0.0,0.0
591,STS-70,STS-70,STS-70,214.0,190.75,0,0.0,0.0
592,STS-78,STS-78,STS-78,405.0,190.75,0,0.0,0.0
593,STS-44,STS-44,STS-44,166.0,1000.0,0,0.0,23.08
594,STS-53,STS-53,STS-53,175.0,1000.0,0,0.0,23.08
595,STS-69,STS-69,STS-69,260.0,1000.0,1,6.77,23.08
596,STS-101,STS-101,STS-101,236.0,1000.0,1,6.73,23.08
597,STS-102,ISS,STS-105,163.0,1000.0,2,9.58,23.08
598,STS-44,STS-44,STS-44,166.0,549.0,0,0.0,4.47
599,STS-54,STS-54,STS-54,143.0,549.0,1,4.47,4.47
600,STS-77,STS-77,STS-77,240.0,549.0,0,0.0,4.47
601,STS-44,STS-44,STS-44,167.11,167.11,0,0.0,0.0
602,STS-42,STS-42,STS-42,193.0,814.0,0,0.0,0.0
603,STS-67,STS-67,STS-67,222.0,814.0,0,0.0,0.0
604,STS-42,STS-42,STS-42,399.0,814.0,0,0.0,0.0
605,STS-42,STS-42,STS-42,193.0,672.0,0,0.0,0.0
606,STS-51,STS-51,STS-51,236.0,672.0,0,0.0,0.0
607,STS-79,STS-79,STS-79,243.0,672.0,0,0.0,0.0
608,STS-42,STS-42,STS-42,193.77,193.77,0,0.0,0.0
609,Soyuz TM­14,Mir,Soyuz TM­14,3494.0,18462.62,1,2.05,23.58
610,Soyuz TM­24,Mir,Soyuz TM­24,4721.0,18462.62,2,12.6,23.58
611,Soyuz TM­30,Mir,Soyuz TM­30,1747.0,18462.62,1,5.05,23.58
612,Soyuz TMA­3,ISS,Soyuz TMA­3,4674.0,18462.62,1,3.92,23.58
613,Soyuz TMA­01M,ISS,Soyuz TMA­01M,3824.0,18462.62,0,0.0,23.58
614,Soyuz TM-14,Soyuz TM-14,Soyuz TM-13,189.95,189.95,0,0.0,0.0
615,STS-45,STS-45,STS-45,214.0,976.0,0,0.0,0.0
616,STS-57,STS-57,STS-57,240.0,976.0,0,0.0,0.0
617,STS-72,STS-72,STS-72,214.0,976.0,0,0.0,0.0
618,STS-92,STS-92,STS-92,310.0,976.0,0,0.0,0.0
619,STS-45,STS-45,STS-45,214.0,8976.0,0,0.0,22.73
620,STS-56,STS-56,STS-56,222.0,8976.0,0,0.0,22.73
621,STS-63,STS-63,STS-63,198.5,8976.0,1,4.65,22.73
622,STS-84,Mir,STS-86,3470.0,8976.0,1,7.0,22.73
623,STS-103,STS-103,STS-103,191.0,8976.0,1,8.17,22.73
624,Soyuz TMA-3,ISS,Soyuz TMA-3,4674.5,8976.0,1,3.92,22.73
625,STS-45,STS-45,STS-45,214.15,214.15,0,0.0,0.0
626,STS-49,STS-49,STS-49,213.0,704.0,0,0.0,0.0
627,STS-59,STS-59,STS-59,270.0,704.0,0,0.0,0.0
628,STS-76,STS-76,STS-76,221.0,704.0,0,0.0,0.0
629,STS-50,STS-50,STS-50,331.0,5304.0,0,0.0,13.28
630,STS-61,STS-61,STS-61,260.0,5304.0,0,0.0,13.28
631,STS-73,STS-73,STS-73,382.0,5304.0,0,0.0,13.28
632,STS-82,STS-82,STS-82,239.0,5304.0,0,0.0,13.28
633,STS-113,ISS,Soyuz TMA-1,3865.0,5304.0,2,13.28,13.28
634,STS-50,STS-50,STS-50,331.53,331.53,0,0.0,0.0
635,STS-50,STS-50,STS-50,331.53,331.53,0,0.0,0.0
636,Soyuz TM­15,Mir,Soyuz TM­15,4533.0,17942.23,4,18.35,41.0
637,Soyuz TM­22,Mir,Soyuz TM­22,4297.0,17942.23,1,5.27,41.0
638,Soyuz TM28,Mir,Soyuz TM29,9110.0,17942.23,3,17.38,41.0
639,Soyuz TM-15,Soyuz TM-15,Soyuz TM-14,331.0,449.77,0,0.0,0.0
640,STS-93,STS-93,STS-93,118.8,449.77,0,0.0,0.0
641,STS-46,STS-46,STS-46,191.0,904.0,0,0.0,0.0
642,STS-62,STS-62,STS-62,335.0,904.0,0,0.0,0.0
643,STS-75,STS-75,STS-75,378.0,904.0,0,0.0,0.0
644,STS-46,STS-46,STS-46,191.25,1184.07,0,0.0,8.16
645,STS-61-A,STS-61-A,STS-61-A,259.97,1184.07,0,0.0,8.16
646,STS-75,STS-75,STS-75,541.67,1184.07,0,0.0,8.16
647,STS-103,STS-103,STS-103,191.18,1184.07,1,8.16,8.16
648,STS-46,STS-46,STS-46,191.25,191.25,0,0.0,0.0
649,STS-47,STS-47,STS-47,190.5,1381.0,0,0.0,0.0
650,STS-66,STS-66,STS-66,262.5,1381.0,0,0.0,0.0
651,STS-77,STS-77,STS-77,240.5,1381.0,0,0.0,0.0
652,STS-85,STS-85,STS-85,284.5,1381.0,0,0.0,0.0
653,STS-95,STS-95,STS-95,213.5,1381.0,0,0.0,0.0
654,STS-103,STS-103,STS-103,191.0,1381.0,0,0.0,0.0
655,STS-47,STS-47,STS-47,190.5,673.0,0,0.0,0.0
656,STS-60,STS-60,STS-60,199.0,673.0,0,0.0,0.0
657,STS-85,STS-85,STS-85,284.0,673.0,0,0.0,0.0
658,STS-47,STS-47,STS-47,190.5,190.5,0,0.0,0.0
659,STS-47,STS-47,STS-47,190.5,190.5,0,0.0,0.0
660,STS-99,STS-99,STS-99,269.7,190.5,0,0.0,0.0
661,STS-52,STS-52,STS-52,236.93,520.03,0,0.0,7.18
662,STS-115,STS-115,STS-115,283.1,520.03,1,7.18,7.18
663,STS-53,STS-53,STS-53,175.0,666.0,0,0.0,6.03
664,STS-59,STS-59,STS-59,270.0,666.0,0,0.0,6.03
665,STS-76,STS-76,STS-76,221.0,666.0,1,6.03,6.03
666,STS-54,STS-54,STS-54,143.0,5054.0,0,0.0,8.93
667,STS-64,STS-64,STS-64,262.0,5054.0,0,0.0,8.93
668,STS-78,STS-78,STS-78,405.0,5054.0,0,0.0,8.93
669,STS-101,STS-101,STS-101,237.0,5054.0,0,0.0,8.93
670,STS-102,ISS,STS-105,4007.0,5054.0,1,8.93,8.93
671,Soyuz TM­16,Mir,Soyuz TM­16,4296.0,4296.72,2,9.97,9.97
672,STS-56,STS-56,STS-56,222.0,1560.0,0,0.0,0.0
673,STS-69,STS-69,STS-69,260.5,1560.0,0,0.0,0.0
674,STS-80,STS-80,STS-80,424.0,1560.0,0,0.0,0.0
675,STS-98,STS-98,STS-98,309.0,1560.0,0,0.0,0.0
676,STS-111,STS-111,STS-111,333.0,1560.0,0,0.0,0.0
677,STS-56,STS-56,STS-56,222.0,978.0,0,0.0,0.0
678,STS-66,STS-66,STS-66,263.0,978.0,0,0.0,0.0
679,STS-96,STS-96,STS-96,235.0,978.0,0,0.0,0.0
680,STS-110,STS-110,STS-110,260.0,978.0,0,0.0,0.0
681,STS-55,STS-55,STS-55,240.0,932.0,0,0.0,0.0
682,STS-71,STS-71,STS-71,235.0,932.0,0,0.0,0.0
683,STS-84,STS-84,STS-84,221.0,932.0,0,0.0,0.0
684,STS-91,STS-91,STS-91,235.0,932.0,0,0.0,0.0
685,STS-55,STS-55,STS-55,239.0,437.0,1,4.65,4.65
686,STS-63,STS-63,STS-63,198.0,437.0,0,0.0,4.65
687,STS-55,STS-55,STS-55,239.67,239.67,0,0.0,0.0
688,STS-55,STS-55,STS-55,240.0,546.0,0,0.0,6.75
689,STS-122,STS-122,STS-122,306.0,546.0,1,6.75,6.75
690,STS-57,STS-57,STS-57,240.0,999.0,0,0.0,0.0
691,STS-70,STS-70,STS-70,214.0,999.0,0,0.0,0.0
692,STS-88,STS-88,STS-88,283.0,999.0,0,0.0,0.0
693,STS-109,STS-109,STS-109,262.0,999.0,0,0.0,0.0
694,STS-57,STS-57,STS-57,239.0,1064.15,1,5.83,19.88
695,STS-68,STS-68,STS-68,269.0,1064.15,0,0.0,19.88
696,STS-81,STS-81,STS-81,240.0,1064.15,0,0.0,19.88
697,STS-92,STS-92,STS-92,309.0,1064.15,2,14.05,19.88
698,STS-57,STS-57,STS-57,239.73,1199.81,0,0.0,0.0
699,STS-63,STS-63,STS-63,198.47,1199.81,0,0.0,0.0
700,STS-83,STS-83,STS-83,95.21,1199.81,0,0.0,0.0
701,STS-94,STS-94,STS-94,396.8,1199.81,0,0.0,0.0
702,STS-99,STS-99,STS-99,269.6,1199.81,0,0.0,0.0
703,Soyuz TM­17,Mir,Soyuz TM­17,4721.0,9159.87,5,14.22,19.18
704,Soyuz TM­25,Mir,Soyuz TM­25,4438.0,9159.87,1,5.22,19.18
705,Soyuz TM-17,Soyuz TM-17,Soyuz TM-16,496.0,5028.0,1,6.32,6.32
706,Soyuz TM-29,Mir,Soyuz TM-29,4532.0,5028.0,0,0.0,6.32
707,STS-51,STS-51,STS-51,236.0,1032.0,1,7.08,43.03
708,STS-69,STS-69,STS-69,260.0,1032.0,0,0.0,43.03
709,STS-88,STS-88,STS-88,283.0,1032.0,3,21.38,43.03
710,STS-109,STS-109,STS-109,262.0,1032.0,2,14.57,43.03
711,STS-51,STS-51,STS-51,236.0,5448.0,0,0.0,11.77
712,STS-68,STS-68,STS-68,169.0,5448.0,0,0.0,11.77
713,STS-77,STS-77,STS-77,241.0,5448.0,0,0.0,11.77
714,STS-108,ISS,STS-111,4802.0,5448.0,2,11.77,11.77
715,STS-51,STS-51,STS-51,236.18,5533.06,1,7.08,18.91
716,STS-65,STS-65,STS-65,360.0,5533.06,0,0.0,18.91
717,STS-79,STS-79,STS-79,243.0,5533.06,0,0.0,18.91
718,STS-108,ISS,STS-111,4704.0,5533.06,2,11.83,18.91
719,STS-58,STS-58,STS-58,338.0,938.0,0,0.0,0.0
720,STS-76,STS-76,STS-76,216.0,938.0,0,0.0,0.0
721,STS-90,STS-90,STS-90,384.0,938.0,0,0.0,0.0
722,STS-58,STS-58,STS-58,336.0,5396.0,0,0.0,24.35
723,STS-74,STS-74,STS-74,196.0,5396.0,0,0.0,24.35
724,STS-92,STS-92,STS-92,309.0,5396.0,2,13.27,24.35
725,Soyuz TMA-7,ISS,Soyuz TMA-7,4555.0,5396.0,2,11.08,24.35
726,STS-58,STS-58,STS-58,336.0,4040.95,0,0.0,41.95
727,STS-86,Mir,STS-89,3072.0,4040.95,1,3.87,41.95
728,STS-112,STS-112,STS-112,259.0,4040.95,3,19.68,41.95
729,STS-127,STS-127,STS-127,376.0,4040.95,3,18.4,41.95
730,STS-58,STS-58,STS-58,336.47,336.47,0,0.0,0.0
731,Soyuz TM-18,Mir,Soyuz TM-18,4368.45,13270.42,0,0.0,31.15
732,Soyuz TM-23,Mir,Soyuz TM-23,4651.12,13270.42,6,30.5,31.15
733,STS 101,Spacehub,STS 101,236.17,13270.42,0,0.0,31.15
734,STS 102,ISS,STS 102,4014.68,13270.42,1,0.65,31.15
735,STS-60,STS-60,STS-60,199.0,420.0,0,0.0,0.0
736,STS-76,STS-76,STS-76,221.0,420.0,0,0.0,0.0
737,STS-59,STS-59,STS-59,269.0,1272.82,0,0.0,19.82
738,STS-68,STS-68,STS-68,269.0,1272.82,0,0.0,19.82
739,STS-80,STS-80,STS-80,423.0,1272.82,0,0.0,19.82
740,STS-98,STS-98,STS-98,309.0,1272.82,3,19.82,19.82
741,Soyuz TM­19,Mir,Soyuz TM­19,3022.0,16872.47,2,11.12,34.83
742,STS­106,STS­106,STS­106,283.0,16872.47,1,6.23,34.83
743,Soyuz TMA­2,ISS,Soyuz TMA­2,4438.0,16872.47,0,0.0,34.83
744,Soyuz TMA­11,ISS,Soyuz TMA­11,4603.0,16872.47,1,6.92,34.83
745,Soyuz TMA­05M,ISS,Soyuz TMA­05M,3047.0,16872.47,1,5.85,34.83
746,Soyuz TMA­19M,ISS,in space,1477.0,16872.47,1,4.72,34.83
747,Soyuz TM­19,Mir,Soyuz TM­19,3002.0,8193.8,2,11.12,42.6
748,Soyuz TM­27,Mir,Soyuz TM­27,4980.0,8193.8,6,31.48,42.6
749,Soyuz TM­32,Soyuz TM­32,Soyuz TM­31,190.0,8193.8,0,0.0,42.6
750,STS-65,STS-65,STS-65,353.0,1257.0,0,0.0,0.0
751,STS-74,STS-74,STS-74,196.0,1257.0,0,0.0,0.0
752,STS-83,STS-83,STS-83,95.0,1257.0,0,0.0,0.0
753,STS-94,STS-94,STS-94,376.0,1257.0,0,0.0,0.0
754,STS-101,STS-101,STS-101,237.0,1257.0,0,0.0,0.0
755,STS-65,STS-65,STS-65,354.0,5503.0,0,0.0,36.09
756,STS-72,STS-72,STS-72,214.0,5503.0,2,12.85,36.09
757,STS-92,STS-92,STS-92,310.0,5503.0,2,13.27,36.09
758,Soyuz TMA-5,ISS,Soyuz TMA-5,4627.0,5503.0,2,9.97,36.09
759,STS-65,STS-65,STS-65,353.0,1038.0,0,0.0,0.0
760,STS-70,STS-70,STS-70,214.0,1038.0,0,0.0,0.0
761,STS-83,STS-83,STS-83,95.0,1038.0,0,0.0,0.0
762,STS-94,STS-94,STS-94,376.0,1038.0,0,0.0,0.0
763,STS-65,STS-65,STS-65,354.0,568.0,0,0.0,0.0
764,STS-95,STS-95,STS-95,214.0,568.0,0,0.0,0.0
765,STS-64,STS-64,STS-64,262.0,3218.83,0,0.0,0.0
766,STS-81,Mir,STS-84,3172.0,3218.83,0,0.0,0.0
767,STS-68,STS-68,STS-68,269.0,1008.0,0,0.0,0.0
768,STS-79,STS-79,STS-79,243.0,1008.0,0,0.0,0.0
769,STS-89,STS-89,STS-89,211.0,1008.0,0,0.0,0.0
770,STS-106,STS-106,STS-106,283.0,1008.0,0,0.0,0.0
771,STS-68,STS-68,STS-68,264.0,960.0,0,0.0,49.8
772,STS-82,STS-82,STS-82,240.0,960.0,3,19.17,49.8
773,STS-103,STS-103,STS-103,192.0,960.0,2,16.38,49.8
774,STS-110,STS-110,STS-110,264.0,960.0,2,14.25,49.8
775,Soyuz TM­20,Mir,Soyuz TM­20,4061.0,4282.68,0,0.0,0.0
776,STS­84,STS­84,STS­84,221.0,4282.68,0,0.0,0.0
777,STS-66,STS-66,STS-66,262.0,1045.25,0,0.0,46.48
778,STS-82,STS-82,STS-82,239.0,1045.25,2,14.02,46.48
779,STS-97,STS-97,STS-97,259.0,1045.25,3,19.33,46.48
780,STS-115,STS-115,STS-115,283.0,1045.25,2,13.13,46.48
781,STS-66,STS-66,STS-66,263.0,675.1,0,0.0,0.0
782,STS-84,STS-84,STS-84,221.1,675.1,0,0.0,0.0
783,STS-103,STS-103,STS-103,191.0,675.1,0,0.0,0.0
784,STS-66,STS-66,STS-66,262.0,1379.0,0,0.0,47.08
785,STS-86,STS-86,STS-86,259.0,1379.0,1,5.017,47.08
786,STS-95,STS-95,STS-95,213.0,1379.0,0,0.0,47.08
787,STS-100,STS-100,STS-100,283.0,1379.0,2,14.83,47.08
788,STS-120,STS-120,STS-120,362.0,1379.0,4,27.23,47.08
789,STS-63,STS-63,STS-63,198.5,872.0,0,0.0,0.0
790,STS-84,STS-84,STS-84,120.0,872.0,0,0.0,0.0
791,STS-93,STS-93,STS-93,119.0,872.0,0,0.0,0.0
792,STS-114,STS-114,STS-114,333.0,872.0,0,0.0,0.0
793,STS-67,STS-67,STS-67,399.0,399.0,0,0.0,0.0
794,STS-67,STS-67,STS-67,399.0,1405.0,0,0.0,59.5
795,STS-81,STS-81,STS-81,244.0,1405.0,0,0.0,59.5
796,STS-103,STS-103,STS-103,191.0,1405.0,2,16.33,59.5
797,STS-109,STS-109,STS-109,262.0,1405.0,3,21.15,59.5
798,STS-125,STS-125,STS-125,309.0,1405.0,3,20.97,59.5
799,STS-67,STS-67,STS-67,399.0,1226.0,0,0.0,0.0
800,STS-86,STS-86,STS-86,259.0,1226.0,0,0.0,0.0
801,STS-91,STS-91,STS-91,235.0,1226.0,0,0.0,0.0
802,STS-114,STS-114,STS-114,333.0,1226.0,0,0.0,0.0
803,Soyuz TM­21,Mir,STS­71,2768.0,5861.47,3,18.18,36.87
804,STS-105,ISS,STS-108,3092.0,5861.47,4,18.67,36.87
805,STS­71,Mir,Soyuz TM­21,1811.0,10657.42,3,14.53,46.02
806,Soyuz TM­27,Mir,Soyuz TM­27,4980.0,10657.42,5,31.48,46.02
807,STS­113,ISS,Soyuz TMA­1,3865.0,10657.42,0,0.0,46.02
808,STS-70,STS-70,STS-70,214.0,1266.35,0,0.0,0.0
809,STS-78,STS-78,STS-78,405.0,1266.35,0,0.0,0.0
810,STS-87,STS-87,STS-87,376.0,1266.35,0,0.0,0.0
811,STS-99,STS-99,STS-99,269.0,1266.35,0,0.0,0.0
812,STS-70,STS-70,STS-70,236.0,450.5,0,0.0,0.0
813,STS-101,STS-101,STS-101,214.0,450.5,0,0.0,0.0
814,Soyuz TM­22,Mir,Soyuz TM­22,4297.0,7918.73,1,3.1,3.1
815,Soyuz TM­31,ISS,STS­102,3383.0,7918.73,0,0.0,3.1
816,Soyuz TM­34,Soyuz TM­34,Soyuz TM­33,237.0,7918.73,0,0.0,3.1
817,Soyuz TM-22,Mir,Soyuz TM-22,4297.6,8405.58,2,8.35,14.25
818,STS-121,ISS,STS-116,4108.0,8405.58,1,5.9,14.25
819,STS-69,STS-69,STS-69,260.5,1039.05,1,6.76,23.26
820,STS-83,STS-83,STS-83,95.2,1039.05,0,0.0,23.26
821,STS-94,STS-94,STS-94,376.75,1039.05,0,0.0,23.26
822,STS-104,STS-104,STS-104,306.6,1039.05,3,16.5,23.26
823,STS-73,STS-73,STS-73,381.0,1608.0,0,0.0,0.0
824,STS-80,STS-80,STS-80,423.0,1608.0,0,0.0,0.0
825,STS-85,STS-85,STS-85,55.0,1608.0,0,0.0,0.0
826,STS-96,STS-96,STS-96,235.0,1608.0,0,0.0,0.0
827,STS-100,STS-100,STS-100,285.0,1608.0,0,0.0,0.0
828,STS-73,STS-73,STS-73,382.0,500.0,0,0.0,0.0
829,STS-93,STS-93,STS-93,119.0,500.0,0,0.0,0.0
830,Soyuz TMA-20,ISS,Soyuz TMA-20,3823.0,500.0,0,0.0,0.0
831,STS-73,STS-73,STS-73,381.0,6190.67,0,0.0,67.67
832,STS-92,STS-92,STS-92,309.0,6190.67,2,14.05,67.67
833,STS-113,STS-113,STS-113,330.0,6190.67,3,19.92,67.67
834,Soyuz TMA-9,ISS,Soyuz TMA-9,5168.0,6190.67,5,33.7,67.67
835,STS-73,STS-73,STS-73,382.02,382.02,0,0.0,0.0
836,STS-73,STS-73,STS-73,382.02,382.02,0,0.0,0.0
837,STS-74,STS-74,STS-74,196.5,4191.82,0,0.0,14.83
838,STS-100,STS-100,STS-100,285.5,4191.82,2,14.83,14.83
839,Soyuz TMA-07M,ISS,Soyuz TMA-07M,3710.32,4191.82,0,0.0,14.83
840,STS-72,STS-72,STS-72,214.0,1002.02,0,0.0,0.0
841,STS-81,STS-81,STS-81,244.0,1002.02,0,0.0,0.0
842,STS-97,STS-97,STS-97,259.0,1002.02,0,0.0,0.0
843,STS-115,STS-115,STS-115,283.0,1002.02,0,0.0,0.0
844,STS-72,STS-72,STS-72,214.0,590.0,1,6.68,19.38
845,STS-87,STS-87,STS-87,376.0,590.0,2,12.7,19.38
846,STS-72,STS-72,STS-72,214.0,8336.5,0,0.0,0.0
847,STS-92,STS-92,STS-92,309.75,8336.5,0,0.0,0.0
848,STS-119,ISS,STS-127,3303.0,8336.5,0,0.0,0.0
849,Soyuz TMA-11M,ISS,Soyuz TMA-11M,4509.75,8336.5,0,0.0,0.0
850,STS-72,STS-72,STS-72,214.0,734.0,1,6.15,25.82
851,STS-96,STS-96,STS-96,235.0,734.0,1,7.92,25.82
852,STS-105,STS-105,STS-105,285.0,734.0,2,11.75,25.82
853,Soyuz TM­23,Mir,Soyuz TM­23,4651.0,9350.77,6,30.5,42.53
854,STS­108,ISS,STS­111,4699.0,9350.77,2,12.03,42.53
855,STS-75,STS-75,STS-75,378.0,1138.68,0,0.0,0.0
856,STS-82,STS-82,STS-82,277.0,1138.68,0,0.0,0.0
857,STS-101,STS-101,STS-101,237.0,1138.68,0,0.0,0.0
858,STS-105,STS-105,STS-105,285.0,1138.68,0,0.0,0.0
859,STS-75,STS-75,STS-75,377.68,377.68,0,0.0,0.0
860,STS-75,STS-75,STS-75,377.67,663.17,0,0.0,0.0
861,STS-100,STS-100,STS-100,285.5,663.17,0,0.0,0.0
862,STS-77,STS-77,STS-77,240.0,4264.0,0,0.0,6.35
863,STS-89,Mir,STS-91,3384.0,4264.0,0,0.0,6.35
864,STS-102,STS-102,STS-102,307.0,4264.0,1,6.35,6.35
865,STS-114,STS-114,STS-114,333.0,4264.0,0,0.0,6.35
866,STS-78,STS-78,STS-78,405.0,1427.0,0,0.0,42.2
867,STS-90,STS-90,STS-90,382.0,1427.0,0,0.0,42.2
868,STS-109,STS-109,STS-109,262.0,1427.0,3,20.92,42.2
869,STS-123,STS-123,STS-123,378.0,1427.0,3,21.28,42.2
870,STS-78,STS-78,STS-78,405.0,405.0,0,0.0,0.0
871,STS-78,STS-78,STS-78,405.8,405.8,0,0.0,0.0
872,STS-78,STS-78,STS-78,405.8,4917.8,0,0.0,0.0
873,Soyuz TMA-15,ISS,Soyuz TMA-15,4512.0,4917.8,0,0.0,0.0
874,Soyuz TM­24,Mir,Soyuz TM­24,4721.0,9159.68,2,12.6,22.33
875,STS­111,ISS,STS­113,4438.0,9159.68,2,9.73,22.33
876,Soyuz TM-24,Soyuz TM-24,Soyuz TM-23,378.4,614.37,0,0.0,0.0
877,Soyuz TM-33,Soyuz TM-33,Soyuz TM-32,236.0,614.37,0,0.0,0.0
878,Soyuz TM­25,Mir,Soyuz TM­25,4438.0,4438.12,0,0.0,0.0
879,Soyuz TM-25,Soyuz TM-25,Soyuz TM-24,472.57,472.57,0,0.0,0.0
880,STS-83,STS-83,STS-83,95.0,471.0,0,0.0,0.0
881,STS-94,STS-94,STS-94,376.0,471.0,0,0.0,0.0
882,STS-83,STS-83,STS-83,95.54,4576.07,0,0.0,0.0
883,STS-94,STS-94,STS-94,377.01,4576.07,0,0.0,0.0
884,STS-83,STS-83,STS-83,95.54,4576.07,0,0.0,0.0
885,STS-94,STS-94,STS-94,377.01,4576.07,0,0.0,0.0
886,STS-84,STS-84,STS-84,221.0,481.0,0,0.0,19.33
887,STS-97,STS-97,STS-97,260.0,481.0,3,19.33,19.33
888,STS-84,STS-84,STS-84,221.0,4943.3,0,0.0,6.23
889,STS-106,STS-106,STS-106,283.0,4943.3,1,6.23,6.23
890,Soyuz TMA-2,ISS,Soyuz TMA-2,4439.0,4943.3,0,0.0,6.23
891,Soyuz TM­26,Mir,Soyuz TM­26,4745.0,13126.53,5,25.27,38.4
892,Soyuz TMA­8,ISS,Soyuz TMA­8,4390.0,13126.53,1,6.52,38.4
893,Soyuz TMA­08M,ISS,Soyuz TMA­08M,3990.0,13126.53,1,6.62,38.4
894,STS-85,STS-85,STS-85,284.0,902.0,0,0.0,45.55
895,STS-98,STS-98,STS-98,309.0,902.0,3,19.82,45.55
896,STS-116,STS-116,STS-116,309.0,902.0,4,24.75,45.55
897,STS-85,STS-85,STS-85,284.0,1156.0,0,0.0,20.08
898,STS-95,STS-95,STS-95,213.0,1156.0,0,0.0,20.08
899,STS-114,STS-114,STS-114,333.0,1156.0,3,20.08,20.08
900,STS-130,STS-130,STS-130,330.0,1156.0,0,0.0,20.08
901,STS-85,STS-85,STS-85,284.0,284.0,0,0.0,0.0
902,STS-86,STS-86,STS-86,259.0,779.0,0,0.0,0.0
903,STS-97,STS-97,STS-97,260.0,779.0,0,0.0,0.0
904,STS-110,STS-110,STS-110,260.0,779.0,0,0.0,0.0
905,STS-87,STS-87,STS-87,376.0,1508.0,0,0.0,0.0
906,STS-95,STS-95,STS-95,213.0,1508.0,0,0.0,0.0
907,STS-104,STS-104,STS-104,306.0,1508.0,0,0.0,0.0
908,STS-121,STS-121,STS-121,306.0,1508.0,0,0.0,0.0
909,STS-133,STS-133,STS-133,307.0,1508.0,0,0.0,0.0
910,STS-87,STS-87,STS-87,376.0,758.0,0,0.0,0.0
911,STS-107,STS-107,Exploded,382.0,758.0,0,0.0,0.0
912,STS-87,STS-87,STS-87,376.5,763.6,2,12.7,12.7
913,STS-123,STS-123,STS-123,378.3,763.6,0,0.0,12.7
914,STS87,STS87,STS87,376.0,376.57,0,0.0,0.0
915,STS-89,STS-89,STS-89,211.0,211.0,0,0.0,0.0
916,STS-89,STS-89,STS-89,211.0,853.0,0,0.0,30.72
917,STS-104,STS-104,STS-104,306.0,853.0,3,16.48,30.72
918,STS-117,STS-117,STS-117,336.0,853.0,2,14.22,30.72
919,STS-89,STS-89,STS-89,211.0,593.0,0,0.0,0.0
920,STS-107,STS-107,STS-107,382.0,593.0,0,0.0,0.0
921,STS­89,Mir,STS­89,211.0,4838.83,0,0.0,10.0
922,Soyuz TMA­5,ISS,Soyuz TMA­5,4627.0,4838.83,2,10.0,10.0
923,Soyuz TM-27,Soyuz TM-27,Soyuz TM-26,496.5,1653.52,0,0.0,0.0
924,STS-122,ISS,STS-123,1157.0,1653.52,0,0.0,0.0
925,STS-90,STS-90,STS-90,382.0,1224.0,0,0.0,0.0
926,STS-106,STS-106,STS-106,283.0,1224.0,0,0.0,0.0
927,STS-109,STS-109,STS-109,262.0,1224.0,0,0.0,0.0
928,STS-125,STS-125,STS-125,309.0,1224.0,0,0.0,0.0
929,STS-90,STS-90,STS-90,381.0,711.0,0,0.0,0.0
930,STS-130,STS-130,STS-130,330.0,711.0,0,0.0,0.0
931,STS-90,STS-90,STS-90,381.85,676.85,0,0.0,17.78
932,STS-118,STS-118,STS-118,305.0,676.85,3,17.78,17.78
933,STS-90,STS-90,STS-90,382.31,382.31,0,0.0,0.0
934,STS-90,STS-90,STS-90,382.31,382.31,0,0.0,0.0
935,STS-91,STS-91,STS-91,235.0,1176.1,0,0.0,0.0
936,STS-99,STS-99,STS-99,269.0,1176.1,0,0.0,0.0
937,STS-108,STS-108,STS-108,283.0,1176.1,0,0.0,0.0
938,STS-123,STS-123,STS-123,378.0,1176.1,0,0.0,0.0
939,STS-91,STS-91,STS-91,235.0,810.0,0,0.0,0.0
940,STS-99,STS-99,STS-99,269.0,810.0,0,0.0,0.0
941,STS-104,STS-104,STS-104,306.0,810.0,0,0.0,0.0
942,Soyuz TM­28,Mir,Soyuz TM­28,4768.0,21083.52,1,5.9,37.95
943,Soyuz TMA­4,ISS,Soyuz TMA­4,4509.0,21083.52,4,15.73,37.95
944,Soyuz TMA­14,ISS,Soyuz TMA­14,4768.0,21083.52,1,4.9,37.95
945,Soyuz TMA­04M,ISS,Soyuz TMA­04M,2999.0,21083.52,1,5.85,37.95
946,Soyuz TMA­16M,ISS,Soyuz TMA­16M,4037.0,21083.52,1,5.57,37.95
947,Soyuz TM­28,Mir,Soyuz TM­27,283.0,473.75,0,0.0,0.0
948,STS-95,STS-95,STS-95,213.73,450.76,0,0.0,0.0
949,Soyuz TM­32,Soyuz TM­32,Soyuz TM­31,190.0,473.75,0,0.0,0.0
950,Soyuz TMA-3,Soyuz TMA-3,Soyuz TMA-2,237.03,450.76,0,0.0,0.0
951,STS-88,STS-88,STS-88,283.0,1237.0,0,0.0,0.0
952,STS-105,STS-105,STS-105,285.0,1237.0,0,0.0,0.0
953,STS-117,STS-117,STS-117,336.0,1237.0,0,0.0,0.0
954,STS-128,STS-128,STS-128,333.0,1237.0,0,0.0,0.0
955,Soyuz TM-29,Mir,Soyuz TM-28,190.0,190.0,0,0.0,0.0
956,STS-96,STS-96,STS-96,235.0,617.0,0,0.0,0.0
957,STS-107,STS-107,Exploded,382.0,617.0,0,0.0,0.0
