Organisation,Details,Rocket_Status,Price
General Dynamics,Atlas II | DSCS IIIB-14 (USA-78),Retired,
VKS RF,Zenit-2 | Tselina-2 n°10,Retired,
Roscosmos,"Proton K/Block-DM-2 | Cosmos 2177, 2178 & 2179",Retired,
Roscosmos,Soyuz U2 | Progress M-11,Retired,40.0
VKS RF,Molniya-M /Block 2BL | Cosmos 2176,Retired,
NASA,Space Shuttle Discovery | STS-42,Retired,450.0
VKS RF,Soyuz U | Cosmos 2175,Retired,20.0
CASC,Long March 3 | DFH-2A 05,Retired,
RVSN USSR,Rokot/Briz K | GVM Demo Flight,Retired,
RVSN USSR,Proton K/Block-DM-2 | Raduga 28,Retired,
RVSN USSR,Tsyklon-3 | Intercosmos 25 & Magion 3,Retired,
RVSN USSR,Soyuz U | Cosmos 2174,Retired,20.0
Arianespace,Ariane 44L | Télécom 2A & Inmarsat 2F3,Retired,
General Dynamics,Atlas II | Eutelsat 2F3,Retired,
General Dynamics,Atlas-E/F Star-37S-ISS | DMSP F-11,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2173,Retired,
NASA,Space Shuttle Atlantis | STS-44,Retired,450.0
RVSN USSR,Proton K/Block-DM-2 | Cosmos 2172,Retired,
RVSN USSR,Soyuz U | Cosmos 2171,Retired,20.0
RVSN USSR,Tsyklon-3 | Cosmos 2165 to 2170,Retired,
Martin Marietta,Titan IV(403)A | SLDCOM & NOSS 3x,Retired,
Arianespace,Ariane 44L | Intelsat 6AF1,Retired,
RVSN USSR,Proton K/Block-DM-2 | Gorizont 24,Retired,
RVSN USSR,Soyuz U2 | Progress M-10,Retired,40.0
RVSN USSR,Cosmos-3M | Cosmos 2164,Retired,
RVSN USSR,Soyuz U2 | Cosmos 2163,Retired,40.0
RVSN USSR,Soyuz U | Foton 7,Retired,20.0
RVSN USSR,Soyuz U2 | Soyuz TM-13,Retired,40.0
IAI,Shavit | Ofek,Retired,
RVSN USSR,Tsyklon-3 | Cosmos 2157 to 2162,Retired,
Arianespace,Ariane 44P | Anik E1,Retired,
RVSN USSR,Soyuz U | Cosmos 2156,Retired,20.0
RVSN USSR,Molniya-M /Block ML | Molniya-3 n°151,Retired,
RVSN USSR,Proton K/Block-DM-2 | Cosmos 2155,Retired,
NASA,Space Shuttle Discovery | STS-48,Retired,450.0
RVSN USSR,Zenit-2 | Tselina-2 n°09,Retired,
ISAS,Mu-III S2 | Yohkoh,Retired,
RVSN USSR,Vostok-2M | IRS-1B,Retired,
MHI,H-I UM-129A (9SO) | Yuri-3B,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2154,Retired,
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
RVSN USSR,Soyuz U2 | Progress M-9,Retired,40.0
RVSN USSR,Tsyklon-3 | Meteor-3 n°05,Retired,
Arianespace,Ariane 44L | Intelsat 605,Retired,
NASA,Space Shuttle Atlantis | STS-43,Retired,450.0
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°150,Retired,
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
Northrop,Pegasus/HAPS | Microsat (SCS),Retired,40.0
Arianespace,"Ariane 40 | ERS-1, Orbcomm-X & Rideshares",Retired,
RVSN USSR,Soyuz U | Cosmos 2153,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 2152,Retired,20.0
Boeing,Delta II 7925 | USA-71 (GPS IIA-2),Retired,
RVSN USSR,Proton K/Block-DM-2 | Gorizont 23,Retired,
US Air Force,Scout G1 | REX,Retired,
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
RVSN USSR,Cosmos-3M | Taïfoun n°59,Retired,
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°149,Retired,
RVSN USSR,Tsyklon-3 | Cosmos 2151,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2150,Retired,
NASA,Space Shuttle Columbia | STS-40,Retired,450.0
RVSN USSR,Tsyklon-3 | Okean 3,Retired,
RVSN USSR,Soyuz U2 | Progress M-8,Retired,40.0
Boeing,Delta II 7925 | Aurora 2,Retired,
RVSN USSR,Soyuz U | Cosmos 2149,Retired,20.0
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
RVSN USSR,Soyuz U2 | Soyuz TM-12,Retired,40.0
RVSN USSR,Tsyklon-3 | Cosmos 2143 to 2148,Retired,
General Dynamics,Atlas-E/F Star-37S-ISS | NOAA-D,Retired,
NASA,Space Shuttle Discovery | STS-39,Retired,450.0
RVSN USSR,Tsyklon-3 | Meteor-3 n°04,Retired,
General Dynamics,Atlas I | Yuri 3H,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2142,Retired,
Boeing,Delta II 7925 | ASC-2 (Spacenet F4),Retired,
NASA,Space Shuttle Atlantis | STS-37,Retired,450.0
Arianespace,Ariane 44P | Anik E2,Retired,
RVSN USSR,"Proton K/Block-DM-2 | Cosmos 2139, 2140 & 2141",Retired,
RVSN USSR,Proton-K | Almaz 1,Retired,
RVSN USSR,Soyuz U | Cosmos 2138,Retired,20.0
RVSN USSR,Molniya-M /Block ML | Molniya-3 n°148,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2137,Retired,
RVSN USSR,Soyuz U2 | Progress M-7,Retired,40.0
RVSN USSR,Cosmos-3M | Nadiezhda n°6,Retired,
Boeing,Delta II 6925 | Inmarsat-2 F2,Retired,
Martin Marietta,Titan IV(403)A | Lacrosse,Retired,
RVSN USSR,Soyuz U | Cosmos 2136,Retired,20.0
Arianespace,Ariane 44LP | Astra 1B & Météosat 5,Retired,
RVSN USSR,Proton K/Block-DM-2 | Raduga 27,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2135,Retired,
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°147,Retired,
RVSN USSR,Soyuz U | Cosmos 2134,Retired,20.0
RVSN USSR,Proton K/Block-DM-2 | Cosmos 2133,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2125 to 2132,Retired,
RVSN USSR,Soyuz U | Cosmos 2124,Retired,20.0
RVSN USSR,Cosmos-3M | Cosmos 2123,Retired,
RVSN USSR,Cosmos-3M | Oscar-21,Retired,
RVSN USSR,Tsyklon-2 | Cosmos 2122,Retired,
RVSN USSR,Soyuz U | Cosmos 2121,Retired,20.0
Arianespace,Ariane 44L | Italsat-1 & Eutelsat 2F2,Retired,
RVSN USSR,Soyuz U2 | Progress M-6,Retired,40.0
Boeing,Delta II 7925 | NATO 4A,Retired,
RVSN USSR,Proton K/Block-DM-2 | Raduga-1 2,Retired,
RVSN USSR,Soyuz U | Cosmos 2120,Retired,20.0
RVSN USSR,Tsyklon-3 | Cosmos 2114 to 2119,Retired,
RVSN USSR,Soyuz U | Cosmos 2113,Retired,20.0
RVSN USSR,Proton K/Block-DM-2 | Raduga 26,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2112,Retired,
RVSN USSR,"Proton K/Block-DM-2 | Cosmos 2109, 2110 & 2111",Retired,
RVSN USSR,Soyuz U | Cosmos 2108,Retired,20.0
RVSN USSR,Tsyklon-2 | Cosmos 2107,Retired,
RVSN USSR,Soyuz U2 | Soyuz TM-11,Retired,40.0
NASA,Space Shuttle Columbia | STS-35,Retired,450.0
General Dynamics,Atlas-E/F Star-37S-ISS | DMSP F-10,Retired,
RVSN USSR,Tsyklon-3 | Cosmos 2106,Retired,
Boeing,Delta II 7925 | USA-66 (GPS IIA-1),Retired,
RVSN USSR,Proton K/Block-DM-2 | Gorizont 22,Retired,
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°146,Retired,
RVSN USSR,Rokot/Briz K | GVM Demo Flight,Retired,
Arianespace,"Ariane 42P | Satcom C1, GStar-4",Retired,
RVSN USSR,Molniya-M /Block 2BL | Cosmos 2105,Retired,
RVSN USSR,Soyuz U | Cosmos 2104,Retired,20.0
NASA,Space Shuttle Atlantis | STS-38,Retired,450.0
RVSN USSR,Tsyklon-2 | Cosmos 2103,Retired,
Martin Marietta,Titan IV(402)A | DSP-15 (USA-65),Retired,
RVSN USSR,Proton K/Block-DM-2 | Gorizont 21,Retired,
Boeing,Delta II 6925 | Inmarsat-2 F1,Retired,
RVSN USSR,Soyuz U | Cosmos 2102,Retired,20.0
Arianespace,Ariane 44L | SBS-6 & Galaxy 6,Retired,
NASA,Space Shuttle Discovery | STS-41,Retired,450.0
CASC,Long March 2C | FSW-1 3,Active,30.8
RVSN USSR,Zenit-2 | Tselina-2 n°08,Retired,
Boeing,Delta II 6925 | USA-64 (GPS II-9),Retired,
RVSN USSR,Soyuz U2 | Cosmos 2101,Retired,40.0
RVSN USSR,Tsyklon-3 | Meteor-2 n°20,Retired,
RVSN USSR,Soyuz U2 | Progress M-5,Retired,40.0
RVSN USSR,Molniya-M /Block ML | Molniya-3 n°145,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2100,Retired,
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
CASC,"Long March 4A | Fengyun 1B, QQW 1 & 2",Retired,
RVSN USSR,Soyuz U | Cosmos 2099,Retired,20.0
Arianespace,Ariane 44LP | Skynet 4C & Eutelsat 2F1,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2098,Retired,
MHI,H-I UM-129A (9SO) | Yuri-3A,Retired,
RVSN USSR,Molniya-M /Block 2BL | Cosmos 2097,Retired,
RVSN USSR,Tsyklon-2 | Cosmos 2096,Retired,
Boeing,Delta II 6925 | Marcopolo 2,Retired,
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
RVSN USSR,Soyuz U2 | Progress M-4,Retired,40.0
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°144,Retired,
RVSN USSR,Proton K/Block-DM-2 | Ekran-M n°14L,Retired,
RVSN USSR,Tsyklon-3 | Cosmos 2090 to 2095,Retired,
RVSN USSR,Soyuz U | Cosmos 2089,Retired,20.0
Boeing,Delta II 6925 | USA-63 (GPS II-8),Retired,
RVSN USSR,Soyuz U2 | Soyuz TM-10,Retired,40.0
RVSN USSR,Tsyklon-3 | Cosmos 2088,Retired,
General Dynamics,Atlas I | CRRES,Retired,
RVSN USSR,Molniya-M /Block 2BL | Cosmos 2087,Retired,
Arianespace,Ariane 44L | TDF-2 & DFS-2,Retired,
RVSN USSR,Soyuz U | Cosmos 2086,Retired,20.0
RVSN USSR,Proton K/Block-DM-2 | Cosmos 2085,Retired,
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
CASC,Long March 2E EPKM | Badr A & Aussat B-MFS,Retired,
RVSN USSR,Soyuz U2 | Gamma,Retired,40.0
RVSN USSR,Soyuz U | Yantar-4K2 n°122,Retired,20.0
RVSN USSR,Tsyklon-3 | Meteor-2 n°19,Retired,
Martin Marietta,Commercial Titan III | Intelsat 604,Retired,136.6
RVSN USSR,Molniya-M /Block 2BL | Cosmos 2084,Retired,
RVSN USSR,Proton-K/Block-DM | Gorizont 20,Retired,
RVSN USSR,Soyuz U | Cosmos 2083,Retired,20.0
RVSN USSR,Molniya-M /Block ML | Molniya-3 n°143,Retired,
Boeing,Delta 4925-8 | INSAT-1D,Retired,
Martin Marietta,Titan IV(405)A | SLDCOM & NOSS 3x,Retired,
Boeing,Delta II 6920-10 | ROSAT,Retired,
RVSN USSR,Proton-K | Kristall,Retired,
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
RVSN USSR,Zenit-2 | Cosmos 2082,Retired,
RVSN USSR,"Proton K/Block-DM-2 | Cosmos 2079, 2080 & 2081",Retired,
RVSN USSR,Soyuz U | Cosmos 2078,Retired,20.0
US Air Force,Scout G1 | MACSAT 1 & 2,Retired,
RVSN USSR,Soyuz U | Cosmos 2077,Retired,20.0
RVSN USSR,Soyuz U2 | Progress 42,Retired,40.0
RVSN USSR,Molniya-M /Block 2BL | Cosmos 2076,Retired,
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°142,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2075,Retired,
NASA,Space Shuttle Discovery | STS-31,Retired,450.0
RVSN USSR,Cosmos-3M | Cosmos 2074,Retired,
RVSN USSR,Soyuz U | Cosmos 2073,Retired,20.0
Boeing,Delta II 6925-8 | Palapa B2R,Retired,
RVSN USSR,Soyuz U | Cosmos 2072,Retired,20.0
RVSN USSR,Soyuz U | Foton 6,Retired,20.0
Lockheed,Atlas-E/F Altair | USA-56/57/58,Retired,
CASC,Long March 3 | AsiaSat 1,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2064 to 2071,Retired,
Northrop,Pegasus | Pegsat & NavySat,Retired,40.0
RVSN USSR,Soyuz U | Yantar-4K2 n°117,Retired,20.0
IAI,Shavit | Ofek-2,Retired,
RVSN USSR,Molniya-M /Block 2BL | Cosmos 2063,Retired,
Boeing,Delta II 6925 | USA-54 (GPS II-7),Retired,
RVSN USSR,Soyuz U | Cosmos 2062,Retired,20.0
RVSN USSR,Cosmos-3M | Cosmos 2061,Retired,
RVSN USSR,Tsyklon-2 | Cosmos 2060,Retired,
Martin Marietta,Commercial Titan III | Intelsat 603,Retired,136.6
RVSN USSR,Soyuz U2 | Progress M-3,Retired,40.0
NASA,Space Shuttle Atlantis | STS-36,Retired,450.0
RVSN USSR,Tsyklon-3 | Okean 2,Retired,
RVSN USSR,Cosmos-3M | Nadiezhda n°5,Retired,
Arianespace,Ariane 44L | Superbird-B & BS-2X,Retired,
RVSN USSR,Proton K/Block-DM-2 | Raduga 25,Retired,
Boeing,Delta II 6920-8 | LACE / RME,Retired,
RVSN USSR,Soyuz U2 | Soyuz TM-9,Retired,40.0
MHI,"H-I (9 SO) | Orizuru, Fuji 1b & Momo-1b",Retired,
RVSN USSR,Cosmos-3M | Cosmos 2059,Retired,
CASC,Long March 3 | DFH-2A 04,Retired,
RVSN USSR,Tsyklon-3 | Cosmos 2058,Retired,
RVSN USSR,Soyuz U | Cosmos 2057,Retired,20.0
Boeing,Delta II 6925 | USA-50 (GPS II-6),Retired,
ISAS,Mu-III S2 | Hiten & Hagoromo,Retired,
RVSN USSR,Molniya-M /Block ML | Molniya-3 n°141,Retired,
Arianespace,"Ariane 40 | SPOT-2, PACSAT & Rideshares",Retired,
RVSN USSR,Cosmos-3M | Cosmos 2056,Retired,
RVSN USSR,Soyuz U | Cosmos 2055,Retired,20.0
NASA,Space Shuttle Columbia | STS-32,Retired,450.0
Martin Marietta,Commercial Titan III | Skynet 4A & JCSAT-2,Retired,136.6
RVSN USSR,Proton K/Block-DM-2 | Cosmos 2054,Retired,
RVSN USSR,Tsyklon-3 | Cosmos 2053,Retired,
RVSN USSR,Soyuz U2 | Progress M-2,Retired,40.0
RVSN USSR,Proton K/Block-DM-2 | Raduga 24,Retired,
Boeing,Delta II 6925 | NAVSTAR II-5,Retired,
RVSN USSR,Proton-K/Block D-1 | Granat,Retired,
RVSN USSR,Soyuz U | Cosmos 2052,Retired,20.0
RVSN USSR,Molniya-M /Block ML | Molniya-3 n°140,Retired,
RVSN USSR,Proton-K | Kvant-2,Retired,
RVSN USSR,Tsyklon-2 | Cosmos 2051,Retired,
RVSN USSR,Molniya-M /Block 2BL | Cosmos 2050,Retired,
NASA,Space Shuttle Discovery | STS-33R,Retired,450.0
Boeing,Delta 5920-8 | Explorer 66 (COBE),Retired,
RVSN USSR,Soyuz U | Cosmos 2049,Retired,20.0
Arianespace,Ariane 44L | Intelsat 6AF2,Retired,
RVSN USSR,Tsyklon-3 | Meteor-3 n°03,Retired,
Boeing,Delta II 6925 | NAVSTAR II-4 (USA-47),Retired,
NASA,Space Shuttle Atlantis | STS-34R,Retired,450.0
RVSN USSR,Soyuz U | Cosmos 2048,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 2047,Retired,20.0
RVSN USSR,Proton K/Block-DM-2 | Gorizont 19,Retired,
RVSN USSR,Tsyklon-3 | Intercosmos 24 & Magion 2,Retired,
RVSN USSR,Tsyklon-2 | Cosmos 2046,Retired,
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°139,Retired,
General Dynamics,Atlas-G Centaur-D1AR | FLTSATCOM-8 (USA-46),Retired,
RVSN USSR,Soyuz U | Cosmos 2045,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 2044,Retired,20.0
RVSN USSR,Tsyklon-3 | Cosmos 2038 to 2043,Retired,
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
Martin Marietta,Titan II(23)G | Farrah 4 (USA-45),Retired,35.0
RVSN USSR,Soyuz U2 | Soyuz TM-8,Retired,40.0
MHI,H-I UM-129A (6SO) | Himawari 4,Retired,
Martin Marietta,Titan 34D | DSCS-II-16 (USA-43) & DSCS-III-A2 (USA-44),Retired,
RVSN USSR,Tsyklon-3 | Cosmos 2037,Retired,
Boeing,Delta 4925-8 | Marcopolo 1,Retired,
RVSN USSR,Soyuz U2 | Progress M-1,Retired,40.0
RVSN USSR,Soyuz U | Cosmos 2036,Retired,20.0
Boeing,Delta II 6925 | NAVSTAR II-3 (USA-42),Retired,
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
Arianespace,Ariane 44LP | TVSAT-2 & Hipparcos,Retired,
NASA,Space Shuttle Columbia | STS-28R,Retired,450.0
RVSN USSR,Soyuz U | Cosmos 2035,Retired,20.0
RVSN USSR,Cosmos-3M | Cosmos 2034,Retired,
RVSN USSR,Tsyklon-2 | Cosmos 2033,Retired,
RVSN USSR,Soyuz U | Cosmos 2032,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 2031,Retired,20.0
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 2030,Retired,20.0
Arianespace,Ariane 3 | Olympus 1,Retired,
RVSN USSR,Proton K/Block-DM-2 | Gorizont 18,Retired,
RVSN USSR,Soyuz U | Cosmos 2029,Retired,20.0
RVSN USSR,Cosmos-3M | Nadiezhda n°4,Retired,
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
RVSN USSR,Proton K/Block-DM-2 | Raduga-1 1,Retired,
RVSN USSR,Soyuz U | Cosmos 2028,Retired,20.0
Martin Marietta,Titan IV(402)A | DSP-14 (USA-39),Retired,
RVSN USSR,Cosmos-3M | Cosmos 2027,Retired,
Boeing,Delta II 6925 | NAVSTAR II-2 (USA-38),Retired,
RVSN USSR,Tsyklon-3 | Okean-O1 n°08,Retired,
RVSN USSR,Molniya-M /Block ML | Molniya-3 n°138,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2026,Retired,
Arianespace,Ariane 44L | Superbird-A & DFS-1,Retired,
RVSN USSR,Soyuz U | Cosmos 2025,Retired,20.0
RVSN USSR,"Proton K/Block-DM-2 | Cosmos 2022, 2023 & 2024",Retired,
RVSN USSR,Soyuz U | Resurs-F,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 2021,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 2020,Retired,20.0
Martin Marietta,Titan 34D | Vortex (USA-37),Retired,
RVSN USSR,Soyuz U | Cosmos 2019,Retired,20.0
NASA,Space Shuttle Atlantis | STS-30R,Retired,450.0
RVSN USSR,Soyuz U | Foton 5,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 2018,Retired,20.0
RVSN USSR,Proton K/Block-DM-2 | Raduga 23,Retired,
RVSN USSR,Soyuz U | Cosmos 2017,Retired,20.0
RVSN USSR,Cosmos-3M | Cosmos 2016,Retired,
Arianespace,Ariane 2 | TELE-X,Retired,
Douglas,Delta 3920-8 | Delta Star (USA-36),Retired,
RVSN USSR,Cosmos-3M | Cosmos 2008 to 2015,Retired,
RVSN USSR,Soyuz U | Cosmos 2007,Retired,20.0
RVSN USSR,Soyuz U2 | Progress 41,Retired,40.0
RVSN USSR,Soyuz U | Cosmos 2006,Retired,20.0
NASA,Space Shuttle Discovery | STS-29R,Retired,450.0
Arianespace,Ariane 44LP | JCSAT-1 & Météosat 4,Retired,
RVSN USSR,Soyuz U | Cosmos 2005,Retired,20.0
RVSN USSR,Tsyklon-3 | Meteor-2 n°18,Retired,
RVSN USSR,Cosmos-3M | Cosmos 2004,Retired,
ISAS,Mu-III S2 | Akebono,Retired,
RVSN USSR,Soyuz U | Cosmos 2003,Retired,20.0
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°137,Retired,
Boeing,Delta II 6925 | NAVSTAR II-1 (USA-35),Retired,
RVSN USSR,Cosmos-3M | Cosmos 2002,Retired,
RVSN USSR,Molniya-M /Block 2BL | Cosmos 2001,Retired,
RVSN USSR,Soyuz U | Cosmos 2000,Retired,20.0
RVSN USSR,Tsyklon-3 | Cosmos 1994 to 1999,Retired,
RVSN USSR,Soyuz U2 | Progress 40,Retired,40.0
RVSN USSR,Soyuz U | Cosmos 1993,Retired,20.0
Arianespace,Ariane 2 | Intelsat-5A 15,Retired,
RVSN USSR,Cosmos-3M | Cosmos 1992,Retired,
RVSN USSR,Proton K/Block-DM-2 | Gorizont 17,Retired,
RVSN USSR,Soyuz U | Cosmos 1991,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 1990,Retired,20.0
RVSN USSR,"Proton K/Block-DM-2 | Cosmos 1987, 1988 & 1989",Retired,
RVSN USSR,Soyuz U | Cosmos 1986,Retired,20.0
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°136,Retired,
RVSN USSR,Soyuz U2 | Progress 39,Retired,40.0
RVSN USSR,Tsyklon-3 | Cosmos 1985,Retired,
RVSN USSR,Molniya-M /Block ML | Molniya-3 n°135,Retired,
CASC,Long March 3 | DFH-2A 03,Retired,
RVSN USSR,Soyuz U | Cosmos 1984,Retired,20.0
Arianespace,Ariane 44LP | Skynet 4B & Astra 1A,Retired,
RVSN USSR,Proton K/Block-DM-2 | Ekran-M 2,Retired,
RVSN USSR,Soyuz U | Cosmos 1983,Retired,20.0
NASA,Space Shuttle Atlantis | STS-27R,Retired,450.0
RVSN USSR,Soyuz U | Cosmos 1982,Retired,20.0
RVSN USSR,Soyuz U2 | Soyuz TM-7,Retired,40.0
RVSN USSR,Soyuz U | Cosmos 1981,Retired,20.0
RVSN USSR,Zenit-2 | Cosmos 1980,Retired,
RVSN USSR,Tsyklon-2 | Cosmos 1979,Retired,
RVSN USSR,Energiya/Buran | Buran,Retired,
RVSN USSR,Soyuz U | Yantar-4KS1 n°104,Retired,20.0
Martin Marietta,Titan 34D | KH-11 9 (USA-33),Retired,
Arianespace,Ariane 2 | TDF-1,Retired,
RVSN USSR,Soyuz U | Cosmos 1978,Retired,20.0
RVSN USSR,Molniya-M /Block 2BL | Cosmos 1977,Retired,
RVSN USSR,Proton K/Block-DM-2 | Raduga 22,Retired,
RVSN USSR,Soyuz U | Cosmos 1976,Retired,20.0
RVSN USSR,Tsyklon-3 | Cosmos 1975,Retired,
RVSN USSR,Molniya-M /Block 2BL | Cosmos 1974,Retired,
NASA,Space Shuttle Discovery | STS-26R,Retired,450.0
RVSN USSR,Molniya-M /Block ML | Molniya-3 n°134,Retired,
General Dynamics,Atlas-E/F Star-37S-ISS | NOAA-H,Retired,
RVSN USSR,Soyuz U | Cosmos 1973,Retired,20.0
IAI,Shavit | Ofek-1,Retired,
MHI,H-I UM-129A (9SO) | Sakura 3B,Retired,
RVSN USSR,"Proton K/Block-DM-2 | Cosmos 1970, 1971 & 1972",Retired,
RVSN USSR,Soyuz U | Cosmos 1969,Retired,20.0
RVSN USSR,Soyuz U2 | Progress 38,Retired,40.0
RVSN USSR,Soyuz U | Cosmos 1968,Retired,20.0
Arianespace,"Ariane 3 | GStar 5, SBS 5",Retired,
CASC,Long March 4A | Fengyun 1A,Retired,
RVSN USSR,Soyuz U | Cosmos 1967,Retired,20.0
Martin Marietta,Titan II(23)G | Farrah 3 (USA-32),Retired,35.0
Martin Marietta,Titan 34D | Vortex (USA-31),Retired,
RVSN USSR,Molniya-M /Block 2BL | Cosmos 1966,Retired,
RVSN USSR,Soyuz U2 | Soyuz TM-6,Retired,40.0
US Air Force,Scout G1 | Transit-O 25 & 31,Retired,
RVSN USSR,Soyuz U | Cosmos 1965,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 1964,Retired,20.0
RVSN USSR,Proton K/Block-DM-2 | Gorizont 16,Retired,
RVSN USSR,Soyuz U | Cosmos 1963,Retired,20.0
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°133,Retired,
RVSN USSR,Soyuz U | Cosmos 1962,Retired,20.0
CASC,Long March 2C | FSW-1 2,Active,30.8
RVSN USSR,Proton K/Block-DM-2 | Cosmos 1961,Retired,
RVSN USSR,Cosmos-3M | Cosmos 1960,Retired,
RVSN USSR,Soyuz U | Resurs-F1 n°39,Retired,20.0
RVSN USSR,Tsyklon-3 | Meteor-3 n°02,Retired,
Arianespace,"Ariane 3 | INSAT-1C, Eutelsat-1 F5",Retired,
RVSN USSR,Cosmos-3M | Cosmos 1959,Retired,
RVSN USSR,Soyuz U2 | Progress 37,Retired,40.0
RVSN USSR,Cosmos-3M | Cosmos 1958,Retired,
ISRO,ASLV | SROSS-B,Retired,
RVSN USSR,Proton-K/Block D-2 | Fobos 2,Retired,
RVSN USSR,Soyuz U | Yantar-4KS1 n°100,Retired,20.0
RVSN USSR,Proton-K/Block D-2 | Fobos 1,Retired,
RVSN USSR,Soyuz U | Cosmos 1957,Retired,20.0
RVSN USSR,Tsyklon-3 | Okean 1,Retired,
RVSN USSR,Soyuz U | Cosmos 1956,Retired,20.0
RVSN USSR,K65M-RB5 | BOR-5 n°505,Retired,
RVSN USSR,Soyuz U | Cosmos 1955,Retired,20.0
RVSN USSR,Cosmos-3M | Cosmos 1954,Retired,
US Air Force,Scout G1 | Nova,Retired,
ESA,"Ariane 44LP | Météosat 3, Panamsat 1 & Amsat P3C",Retired,
RVSN USSR,Tsyklon-3 | Cosmos 1953,Retired,
RVSN USSR,Soyuz U | Cosmos 1952,Retired,20.0
RVSN USSR,Soyuz U2 | Soyuz TM-5,Retired,40.0
RVSN USSR,Soyuz U | Cosmos 1951,Retired,20.0
RVSN USSR,Tsyklon-3 | Cosmos 1950,Retired,
RVSN USSR,Tsyklon-2 | Cosmos 1949,Retired,
RVSN USSR,Molniya-M /Block ML | Molniya-3 n°132,Retired,
RVSN USSR,"Proton K/Block-DM-2 | Cosmos 1946, 1947 & 1948",Retired,
RVSN USSR,Soyuz U | Cosmos 1945,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 1944,Retired,20.0
Arianespace,Ariane 2 | Intelsat 3AF13,Retired,
RVSN USSR,Zenit-2 | Cosmos 1943,Retired,
RVSN USSR,Soyuz U2 | Progress 36,Retired,40.0
RVSN USSR,Soyuz U | Cosmos 1942,Retired,20.0
RVSN USSR,Proton-K/Block-DM | Ekran 17,Retired,
RVSN USSR,Soyuz U | Cosmos 1941,Retired,20.0
RVSN USSR,Proton K/Block-DM-2 | Cosmos 1940,Retired,
US Air Force,Scout G1 | Transit-O 23 & 32,Retired,
RVSN USSR,Vostok-2M | Cosmos 1939,Retired,
RVSN USSR,Soyuz U | Foton 4,Retired,20.0
RVSN USSR,Soyuz U | Cosmos 1938,Retired,20.0
RVSN USSR,Cosmos-3M | Cosmos 1937,Retired,
RVSN USSR,Proton-K/Block-DM | Gorizont 15,Retired,
RVSN USSR,Soyuz U | Cosmos 1936,Retired,20.0
ASI,Scout G1 | San Marco 5,Retired,
RVSN USSR,Soyuz U | Cosmos 1935,Retired,20.0
RVSN USSR,Soyuz U2 | Progress 35,Retired,40.0
RVSN USSR,Cosmos-3M | Cosmos 1934,Retired,
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°131,Retired,
RVSN USSR,Vostok-2M | IRS-1A,Retired,
RVSN USSR,Tsyklon-3 | Cosmos 1933,Retired,
RVSN USSR,Tsyklon-2 | Cosmos 1932,Retired,
Arianespace,"Ariane 3 | Spacenet 3R, Télécom 1C",Retired,
RVSN USSR,Molniya-M /Block ML | Molniya-1 n°130,Retired,
