Organisation,Details,Rocket_Status,Price
CASC,Long March 2C | APStar 6E,Active,30.8
ABL SS,RS1 | DEMO-1 (Test Launch),Active,12.0
SpaceX,Falcon 9 Block 5 | OneWeb #16,Active,67.0
Virgin Orbit,LauncherOne | Start Me Up,Retired,12.0
Galactic Energy,Ceres-1 | Give Me Five,Active,4.38
CASC,Long March 7A | Shijian 23,Active,
SpaceX,Falcon 9 Block 5 | Transporter 6,Active,67.0
SpaceX,Falcon 9 Block 5 | EROS-C3,Active,67.0
CASC,Long March 3B/E | Shiyan 10-02,Active,29.15
SpaceX,Falcon 9 Block 5 | Starlink Group 5-1,Active,67.0
CASC,Long March 4B | Gaofen-11 04,Active,64.68
Arianespace,Vega-C | Pléïades-Néo 5 & 6,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 4-37,Active,67.0
SpaceX,Falcon 9 Block 5 | O3b mPOWER 1 & 2,Active,67.0
SpaceX,Falcon 9 Block 5 | SWOT,Active,67.0
CASC,Long March 11 | Shiyan 21,Active,5.3
CASC,Long March 2D | Yaogan 36 Group 04,Active,29.75
Landspace,ZhuQue-2 | Demo Flight,Active,
Arianespace,"Ariane 5 ECA | Galaxy 35 & 36, MTG-I1",Retired,200.0
CASC,Long March 4C | Shiyan 20A & 20B,Active,64.68
SpaceX,Falcon 9 Block 5 | HAKUTO-R Mission 1,Active,67.0
CASC,Jielong-3 | Demo Flight,Active,
SpaceX,Falcon 9 Block 5 | OneWeb #15,Active,67.0
CASC,Long March 2D | Gaofen-5 01A,Active,29.75
ExPace,Kuaizhou 11 | Xingyun VDES,Active,28.3
VKS RF,Soyuz 2.1b | Cosmos 2565,Active,20.0
CASC,Long March 2F/G | Shenzhou 15,Active,
VKS RF,Soyuz 2.1b/Fregat-M | Cosmos 2564,Active,25.0
CASC,Long March 2D | Yaogan 36 Group 03,Active,29.75
SpaceX,Falcon 9 Block 5 | CRS SpX-26,Active,67.0
ISRO,"PSLV-XL | EOS-06, BhutanSat & Others",Active,31.0
SpaceX,Falcon 9 Block 5 | Eutelsat 10B,Active,67.0
NASA,SLS Block 1 | Artemis I,Active,876.0
Galactic Energy,Ceres-1 | Young For You,Active,4.38
CASC,Long March 4C | Yaogan 34-03,Active,64.68
SpaceX,Falcon 9 Block 5 | Galaxy 31 & 32,Active,67.0
CASC,Long March 7 | Tianzhou 5,Active,
CASC,Long March 6A | Yunhai 3,Active,
ULA,Atlas V 401 | JPSS-2,Active,109.0
Northrop,Antares 230+ | CRS NG-18,Retired,85.0
CASC,Long March 3B/E | ChinaSat 19,Active,29.15
Rocket Lab,Electron/Curie | Catch Me If You Can,Active,7.5
SpaceX,Falcon 9 Block 5 | Hotbird 13G,Active,67.0
VKS RF,Soyuz 2.1b/Fregat-M | Cosmos 2563,Active,25.0
SpaceX,Falcon Heavy | USSF-44,Active,97.0
CASC,Long March 5B | Mengtian,Active,
CASC,Long March 2D | Shiyan 20C,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 4-31,Active,67.0
