Name,Baths,Balcony
"Hananya Homes,Kelambakkam, Chennai",3,No
"SUBHA FLATS MEDAVAKKAM,Ranganathapuram, Medavakkam,Chennai",3,No
VGN Imperia,3,Yes
MM M M Manhattan by M. M Corporation Builders and Developers,3,No
Dream Veppampattu Villas,3,Yes
"KK Nagar, Mangadu,Chennai",3,Yes
Dream Veppampattu Villas,2,No
Kala Flats,3,No
"Dev appartments puzuthivakkam ,Puzhuthivakkam, Madipakkam,Chennai",3,Yes
JS Guduvancherry KJ Nagar,2,Yes
"Padhuvancherry, Madambakkam,Chennai",3,No
PS Nexterra ,3,No
"Brics ambattur,Vivek Nagar, Ambattur,Chennai",3,No
"Janaki Flats,Perungalathur, Chennai",3,No
"Natesan Nagar, Madhavaram,Chennai",3,Yes
Appaswamy Mapleton,3,Yes
Mahalakshmi Subramani Apartments,2,No
"Balaji Nagar, Perungalathur,Chennai",3,No
Viva City,2,No
"Maraimalai Nagar, Chennai",5,No
Tulip Apartment,3,No
Visoka Aakaash,3,No
S Promoters Avadi,2,Yes
Man Pearl Reside,3,Yes
VGN Dynasty,2,No
"Parthasarathy Puram, T Nagar,Chennai",3,Yes
"Thirumangalam, Anna Nagar West,Chennai",3,Yes
"Thirumangalam, Anna Nagar West,Chennai",3,No
Casagrand Bellissimo,2,Yes
"Shiradi,Shakthi Nagar, Kodambakkam,Chennai",3,No
 Sembakkam Village,3,No
"Suyambu Ganapathi Apartment,CIT Nagar, Chennai",3,No
Macro Marvel Projects Builders Riverview County Phase I,3,Yes
Guru Royal Palace Apartments,2,No
 Selaiyur,3,No
"Murugan Nagar, Kolathur,Chennai",2,Yes
"Korattur Tank, Korattur,Chennai",2,Yes
Dream Veppampattu Villas,3,No
"Happy Homes Nangallur,I Cross Extension, Nanganallur,Chennai",2,Yes
Jaya Jayaswathy Prasanna Lakshmi Flats,2,Yes
Akshaya Level Up,4,Yes
"Kamaraj Nagar, Choolaimedu,Chennai",1,Yes
"Bhuvana enclave,Sadasivam Nagar, Madipakkam,Chennai",3,Yes
"Prashanthi avanue Ayapakkam,Teachers Colony, Ambattur,Chennai",3,Yes
"KG Royal Palm, Kilpauk",4,Yes
Avigna Celeste,3,No
"Sendhur tower alwarpet ,Sri Ram Nagar, Alwarpet,Chennai",3,Yes
"Veppampattu, Chennai",3,Yes
Shamim Foundations Gandhinagar,2,No
"Guduvancheri, Chennai",3,No
"NEW CONSTRUCTION,Pallikaranai, Chennai",2,Yes
Manju Green Spot Thiruninravur,3,Yes
Sri SDB Shubham,2,Yes
"Rajnis Gopala ,Avvai Nagar, Choolaimedu,Chennai",3,Yes
Prince Ratnapuri Garden Residency,3,Yes
Dream Veppampattu Villas,3,No
"Prakash Nagar, Ponniammanmedu,Chennai",3,Yes
Dream Veppampattu Villas,3,No
"Naveen Builders,Rajakilpakkam, Chennai",3,Yes
"Potheri,SRM Nagar, Kattankulathur,Chennai",2,Yes
DHS Pioni,3,No
"Surya Nagar, Kotturpuram,Chennai",3,No
"Sakthi Avenue, Gerugambakkam,Chennai",3,Yes
"Veppampattu, Chennai",3,Yes
Dream Veppampattu Villas,3,No
Navin South Terrace,3,No
Madras Golden Paradise,2,Yes
"Ambiente paradise ,Mel Ayanambakkam, Kil Ayanambakkam,Chennai",3,No
"Adharsh shelter,Tiru Vi Ka Nagar, Perambur,Chennai",2,No
"Purasawalkam, Chennai",4,Yes
Dream Veppampattu Villas,3,No
"Marya Nivas hr sec school ,Prem Nagar, Pozhichalur,Chennai",3,No
XS Real Vibe,3,Yes
"Ganga foundation ,Periyar Nagar, Perambur,Chennai",2,No
"Veppampattu, Chennai",3,Yes
"Parthasarathy Puram, T Nagar,Chennai",3,No
"Ambattur, Chennai",3,No
Sekaran Grandium,3,No
"Mahalakshmi Nagar, Adambakkam,Chennai",3,Yes
"durga appartment,Gowrivakkam, Sembakkam,Chennai",3,No
"Kayarambedu,Iyyapa Nagar, Chennai",3,No
"Sembiyan, Perambur,Chennai",1,Yes
Vijayalakshmi Flats,3,Yes
"Maritime enclave ,Sembakkam, Chennai",2,No
"Deepa Flats,Medavakkam, Chennai",3,No
Casa Grande Novus,2,Yes
"Sampoorna villa,Guduvancheri, Chennai",3,No
XS Real Symphony,3,Yes
"Annamalai Colony, Saligramam,Chennai",2,Yes
"Guru Swamy Nagar, Anakaputhur,Chennai",2,No
 Sembakkam,3,No
"Akarsh flats,Anthony Nagar, Kolathur,Chennai",3,No
"Kandigai, Chennai",3,Yes
"Madambakkam, Chennai",3,Yes
"Kolapakkam,Vandalur, Chennai",3,Yes
"Amaze Yazhini Park ,Vandalur R.F., Chennai",3,No
Arun Excello Atana by Arun Excello Homes Pvt Ltd,2,Yes
Alraza Primrose Apartments,3,Yes
"Buvanaenclave,Sadasivam Nagar, Madipakkam,Chennai",3,No
"Vandalur R.F., Chennai",3,No
"Prc alagan apartments,Sembiyan, Perambur,Chennai",2,No
"BRICS CONSTRUCTION,TNHB Colony, Villivakkam,Chennai",3,No
Praney Square,3,Yes
MAV ROYAL SQUARE,3,No
"Peravallur, Perambur,Chennai",3,No
"SVC villa central poonamallee,Poonamallee, Chennai",3,Yes
"Deepakam Manor,Tambaram Mount, Tambaram,Chennai",3,No
Jayanthi Flats,3,No
"Urapakkam, Chennai",3,No
"Kundrathur, Chennai",3,No
"yesh homes,Nemilichery, Chromepet,Chennai",2,Yes
Haappy Home My World by Haappy home Construction Builders,3,No
Asset Dev,2,No
"Gowri Garden,Kanathur Reddikuppam, Chennai",3,No
Sai Empire Villas,3,No
"Manohar Nagar extension,Kaietha Milleth Nagar, Pallikaranai,Chennai",2,No
"SVAGATA,Ramakrishna Nagar, Raja Annamalai Puram,Chennai",3,Yes
"Malangananda Puram, Pallavaram,Chennai",2,No
"Ss tares,Subbarayan Nagar, Teynampet,Chennai",3,No
Oliyas Green Court,3,No
"Dharan Singh Colony, Vadapalani,Chennai",4,Yes
 Elegance,3,No
" Akshara apartment ,Tambaram East, Chennai",3,No
"BRICS CONSTRUCTION,Ambattur, Chennai",3,Yes
"ADHITHIYA VARMAN VENTURES,Lalitha Nagar, Thiruvanmiyur,Chennai",3,Yes
"Madambakkam, Chennai",2,No
"Aquasphere,Semmanjeri, Semmancheri,Chennai",3,No
"evs park,Srinivasapuram, Iyyappanthangal,Chennai",3,No
 Golden Jubilee Apartment,3,Yes
"Padur, Chennai",3,Yes
Amarprakash Temple Waves,2,No
Adithi Homes,3,No
"Building ,Sembiyan, Perambur,Chennai",3,No
JS Guduvancherry KJ Nagar,2,No
"Sreenithi APPARTMENTS ,Paraniputhur, Iyyappanthangal,Chennai",3,No
Signature Oaklyn,3,Yes
"Pallikaranai, Chennai",3,Yes
Jain West Minster,3,Yes
"VNR Apartments 11TH WEST STREET METHA NAGAR KUNDRATHUR,Kundrathur, Chennai",3,No
"Avadi, Chennai",2,No
"Melakottaiyur police housing,Melakottaiyur, Chennai",3,Yes
"MRB Saradha Nivas,Velan Nagar, Valasaravakkam,Chennai",3,No
"Abhinandan Vaishnavi,AL Block, Anna Nagar,Chennai",3,No
"Hananya Homes,Kelambakkam, Chennai",3,Yes
"Abinandan Vaishnavi,Kathiravan Colony, Anna Nagar,Chennai",3,Yes
"Hanu Chola Perumbakkam ,Cheran Nagar, Perumbakkam,Chennai",3,No
CasaGrand Miro,3,Yes
"Cherry Blossom Apartments,Varadharajapuram, Chennai",3,Yes
 Jadhav Jain Atisaya,3,No
Sankar Yatra 2,3,No
"Kamaraj Nagar, Perungudi,Chennai",3,No
Sai Enclave,3,Yes
"Kamakshi Nagar, Anakaputhur,Chennai",3,Yes
"sei lingam,SRM Nagar, Kattankulathur,Chennai",3,No
"Krishnavilas apartment,Mannivakkam, Chennai",3,No
"Perumalpattu, Chennai",2,No
Sai Sagar APPARTMENT,3,No
Arun Excello Temple Green Integrated Residential Township,3,No
Sumanth Sreshta Leela,4,Yes
"Kamakshi Nagar, Anakaputhur,Chennai",3,Yes
"Sai Raksha Apartment,MGR Nagar, Mangadu,Chennai",3,No
"ruby avenue phase 2,Irumbuliyur, Chennai",2,Yes
"Swetha opel,Sector 5, KK Nagar,Chennai",3,Yes
RKN KPS Flats,3,Yes
"Color,Padur, Chennai",3,No
VGN Platina,3,No
Marutham Classic,3,No
Geetham Heritage,3,Yes
Geetham Heritage,3,No
Geetham Heritage,3,No
Macro Jus,3,Yes
ETA Jasmine Court,3,Yes
VGN LA PARISIENNE ,3,Yes
"Salims Golden Park,VGN Nagar, Iyyappanthangal,Chennai",2,Yes
"Ayyappa Nagar, Pallavaram,Chennai",2,No
Euro Flats,3,Yes
Mahalakshmi Apartments,3,No
"Perungalathur, Chennai",3,Yes
Jeayam Radha,3,Yes
Shirdi Shelters Whitefield Apartment,3,No
"Sai Mithun Apartments,Mannivakkam, Chennai",2,Yes
Shree Seema Flats,3,No
"Abhirami Sundaram Apartment,Ezhil Nagar, Selaiyur,Chennai",3,No
"Srinivasa Nagar, Kovur,Chennai",3,No
Kgeyes Samyuktha by Kgeyes Residency,3,Yes
"PG builders ,Vengaivasal, Chennai",3,Yes
Embassy Residency Phase 2,3,Yes
Vishwakarma Sky Park,3,No
"Thirumangalam, Anna Nagar West,Chennai",3,Yes
