Neo Reference ID,Close Approach Date,Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles)
3703545,2015-01-15,1421308800000,11.5026968591,41409.7086925922,25730.3826040166,0.3067949968,119.3432540894,45895880.0,28518378.0
3704154,2015-01-15,1421308800000,7.7139773417,27770.3184299879,17255.3959155667,0.0034025324,1.3235850334,509011.59375,316285.125
3704158,2015-01-15,1421308800000,8.3542737055,30075.3853398089,18687.6748518385,0.0037030656,1.4404925108,553970.75,344221.46875
3707693,2015-01-15,1421308800000,13.6387723334,49099.5804003678,30508.5698326619,0.060540304,23.5501785278,9056701.0,5627573.0
3707694,2015-01-15,1421308800000,28.5217152637,102678.1749492001,63800.224873296,0.0247297614,9.6198778152,3699519.75,2298775.0
3703073,2015-01-15,1421308800000,8.944859727,32201.4950173184,20008.7567233999,0.0561046869,21.82472229,8393142.0,5215256.5
3761350,2015-01-15,1421308800000,16.3413417864,58828.8304310476,36553.9474420029,0.4137693582,160.9562835693,61899016.0,38462264.0
3690055,2015-01-22,1421913600000,6.6596749879,23974.8299564117,14897.0269804159,0.1380316711,53.6943206787,20649246.0,12830846.0
2429584,2015-01-22,1421913600000,13.9994221361,50397.919690136,31315.3073763515,0.1097986349,42.7116699219,16425642.0,10206421.0
3365921,2015-01-22,1421913600000,28.5473164827,102770.3393376988,63857.4922401384,0.4776595353,185.8095550537,71456848.0,44401228.0
3605727,2015-01-22,1421913600000,6.2327762447,22437.9944809818,13942.0971818078,0.3629012094,141.1685638428,54289248.0,33733776.0
3619461,2015-01-22,1421913600000,5.1851844395,18666.6639821098,11598.7390726615,0.1759295854,68.4366073608,26318692.0,16353677.0
3656926,2015-01-22,1421913600000,6.6580757274,23969.0726187813,14893.4495947089,0.1243016685,48.353351593,18595266.0,11554562.0
3755345,2015-01-22,1421913600000,19.7398859325,71063.5893571411,44156.1508424969,0.3136419657,122.0067214966,46920172.0,29154842.0
3711168,2015-01-22,1421913600000,23.4268381918,84336.6174904127,52403.4943511956,0.0695541025,27.0565471649,10405146.0,6465458.0
3709401,2015-02-08,1423382400000,4.8600776011,17496.2793639268,10871.50758588,0.1644016071,63.9522247314,24594130.0,15282084.0
3709604,2015-02-08,1423382400000,2.2808146296,8210.9326665368,5101.9542449378,0.3284747762,127.7766952515,49139128.0,30533640.0
2004769,2015-02-08,1423382400000,14.0157361341,50456.6500828882,31351.8001584479,0.3582200844,139.3476104736,53588960.0,33298636.0
2311554,2015-02-08,1423382400000,13.7811341264,49612.0828548712,30827.0189272393,0.2183508834,84.9384918213,32664828.0,20296984.0
3562830,2015-02-08,1423382400000,5.9400554326,21384.1995572084,13287.3099970887,0.1563928082,60.8368034363,23396032.0,14537620.0
3672899,2015-02-08,1423382400000,12.7473167015,45890.3401253852,28514.4727295762,0.3465862887,134.8220672607,51848572.0,32217208.0
3709715,2015-02-08,1423382400000,14.5145673797,52252.442566961,32467.6357716764,0.0110939869,4.3155608177,1659636.875,1031250.5625
3709961,2015-02-08,1423382400000,7.9850511343,28746.1840833639,17861.7608822435,0.0225407966,8.7683696747,3372055.25,2095298.0
2468910,2015-02-08,1423382400000,12.747290977,45890.2475172497,28514.4151864822,0.3465854886,134.8217468262,51848452.0,32217134.0
3703888,2015-02-15,1423987200000,3.7984320417,13674.3553500344,8496.7126340255,0.1647244223,64.0778045654,24642424.0,15312092.0
3710227,2015-02-15,1423987200000,24.299268191,87477.3654876256,54355.0330164638,0.0764040352,29.7211704254,11429881.0,7102199.0
3711170,2015-02-15,1423987200000,7.5191851299,27069.0664675585,16819.6652170227,0.0159033746,6.1864123344,2379111.0,1478311.0
3715405,2015-02-15,1423987200000,17.0457336107,61364.6409984782,38129.6015137489,0.0532412302,20.7108383179,7964775.0,4949081.5
3713267,2015-02-15,1423987200000,6.9786672124,25123.2019645358,15610.5806873528,0.3087601363,120.1076965332,46189860.0,28701048.0
3293790,2015-02-15,1423987200000,16.4393651419,59181.714511007,36773.2158860199,0.4094705262,159.2840423584,61255920.0,38062664.0
3371135,2015-02-15,1423987200000,7.7958000506,28064.8801820534,17438.4251331209,0.0893950142,34.7746620178,13373304.0,8309786.0
3601673,2015-02-15,1423987200000,10.1818442209,36654.6391951633,22775.7673376836,0.204307482,79.4756088257,30563964.0,18991568.0
3648643,2015-02-15,1423987200000,12.9975781815,46791.2814534806,29074.2826342475,0.3307617341,128.6663208008,49481252.0,30746224.0
3703537,2015-02-15,1423987200000,7.216293045,25978.6549618333,16142.1259122569,0.0197346502,7.6767792702,2952261.75,1834450.375
3709959,2015-02-15,1423987200000,10.4262104414,37534.3575890598,23322.39013638,0.3698740049,143.8809814453,55332364.0,34381936.0
3709926,2015-02-15,1423987200000,8.5210013203,30675.6047532497,19060.6278534845,0.008621079,3.3535997868,1289695.0,801379.375
3710218,2015-02-15,1423987200000,13.5974717824,48950.8984167217,30416.1846301013,0.0051873298,2.0178713799,776013.5,482192.4375
3710216,2015-02-15,1423987200000,9.4239952692,33926.3829690331,21080.5350176195,0.0184668142,7.1835904121,2762596.0,1716597.625
3710217,2015-02-15,1423987200000,14.7923046409,53252.29670724,33088.9062512292,0.0217783977,8.4717969894,3258002.0,2024428.5
3713303,2015-02-15,1423987200000,24.1579453996,86968.6034386648,54038.9080644303,0.4049906224,157.5413513184,60585732.0,37646228.0
3404492,2015-02-22,1424592000000,13.0504851963,46981.7467068362,29192.6303357006,0.3728765247,145.0489654541,55781536.0,34661040.0
2422638,2015-02-22,1424592000000,13.8693076684,49929.5076061662,31024.2543233981,0.3081874558,119.8849182129,46104188.0,28647814.0
3468430,2015-02-22,1424592000000,16.2562688073,58522.5677063923,36363.6476951192,0.3369697049,131.0812072754,50409952.0,31323292.0
3712031,2015-02-22,1424592000000,11.5399318021,41543.7544875755,25813.6734481271,0.0616898523,23.9973526001,9228671.0,5734430.0
3753079,2015-02-22,1424592000000,21.886247754,78790.4919145746,48957.3476010311,0.4774372216,185.7230834961,71423592.0,44380564.0
3718391,2015-02-22,1424592000000,5.8530474368,21070.9707723554,13092.6818113005,0.2986789058,116.1860961914,44681728.0,27763938.0
3713008,2015-03-08,1425801600000,10.6104166555,38197.4999597366,23734.4410166486,0.0036966898,1.4380123615,553016.9375,343628.78125
3076622,2015-03-08,1425801600000,8.6066274331,30983.8587590424,19252.1649050283,0.4946375911,192.4140167236,73996728.0,45979436.0
3512278,2015-03-08,1425801600000,19.8715213634,71537.4769081417,44450.6061377284,0.4281192323,166.5383911133,64045728.0,39796172.0
3709958,2015-03-08,1425801600000,20.3483000876,73253.8803153992,45517.1124659768,0.1582929624,61.5759620667,23680290.0,14714250.0
3712627,2015-03-08,1425801600000,8.6082771797,30989.7978469059,19255.8552232621,0.0176986541,6.8847765923,2647681.0,1645192.75
3727337,2015-03-08,1425801600000,26.5373548265,95534.4773753428,59361.4090113623,0.4271511468,166.1617889404,63900904.0,39706180.0
3715513,2015-03-08,1425801600000,0.3355041122,1207.8148038103,750.489148512,0.2795638382,108.7503356934,41822156.0,25987084.0
3712471,2015-03-15,1426402800000,6.7760768921,24393.8768113981,15157.4063998379,0.0824216604,32.0620269775,12330105.0,7661572.0
3713005,2015-03-15,1426402800000,36.7700009604,132372.0034575555,82250.8151483906,0.1014937765,39.4810791016,15183253.0,9434436.0
3714120,2015-03-15,1426402800000,4.9191867783,17709.072402039,11003.7289044781,0.0633086842,24.62707901,9470845.0,5884910.0
2451370,2015-03-15,1426402800000,5.5771536369,20077.7530926614,12475.5349702706,0.2962437936,115.2388305664,44317440.0,27537580.0
3273782,2015-03-15,1426402800000,12.0762225495,43474.4011782608,27013.3022210144,0.0562219069,21.8703212738,8410678.0,5226152.5
3445544,2015-03-15,1426402800000,14.3328200714,51598.1522571559,32061.0852177867,0.3168970363,123.2729492188,47407124.0,29457420.0
3633046,2015-03-15,1426402800000,16.647609139,59931.3929005015,37239.0368830922,0.4795236889,186.5347137451,71735720.0,44574512.0
3712944,2015-03-15,1426402800000,14.2004105579,51121.4780084476,31764.8983769712,0.0070720183,2.7510151863,1057958.875,657385.1875
3713306,2015-03-15,1426402800000,3.0785198507,11082.6714626175,6886.3410540914,0.0771503641,30.0114936829,11541531.0,7171574.5
3714179,2015-03-15,1426402800000,12.1680696274,43805.0506586486,27218.7549495364,0.081846058,31.8381175995,12243996.0,7608066.5
3714452,2015-03-15,1426402800000,14.4249271408,51929.7377070308,32267.1195213492,0.4074080556,158.4817352295,60947380.0,37870944.0
3752572,2015-03-15,1426402800000,5.3663961551,19319.0261585143,12004.0915594391,0.1719631121,66.8936462402,25725316.0,15984970.0
3765641,2015-03-15,1426402800000,26.857521159,96687.0761725167,60077.5890806396,0.3911027343,152.138961792,58508136.0,36355272.0
2483656,2015-03-15,1426402800000,12.0761852415,43474.266869251,27013.2187666187,0.0562218184,21.8702869415,8410664.0,5226144.5
3714182,2015-03-22,1427007600000,15.331920032,55194.912115087,34295.9719195106,0.043756475,17.0212688446,6545875.5,4067418.5
3457846,2015-03-22,1427007600000,8.8143463662,31731.6469184729,19716.8113866478,0.2490438898,96.878074646,37256436.0,23150076.0
3607531,2015-03-22,1427007600000,7.60879409,27391.6587239609,17020.1114998967,0.2939244795,114.3366241455,43970476.0,27321988.0
3712665,2015-03-22,1427007600000,6.614848155,23813.4533578415,14796.753837821,0.0830033824,32.2883148193,12417129.0,7715646.0
3715693,2015-03-22,1427007600000,11.0558162045,39800.9383360218,24730.7552677353,0.1058575134,41.1785736084,15836059.0,9840071.0
3750676,2015-03-22,1427007600000,5.2112106515,18760.3583453834,11656.95710633,0.096823953,37.664516449,14484657.0,9000349.0
3717051,2015-04-08,1428476400000,8.8084108336,31710.2790009036,19703.5341936448,0.0536142583,20.8559474945,8020579.0,4983756.5
